sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,severity
0,36.59540675,37.15296902386428,172.5134,182.24510917317394,178.8528482255028,-3.392260947671133,6.339448225502821,0.05
1,36.59540675,34.6924746809297,172.5134,182.24510917317394,194.76758475472627,12.522475581552328,22.254184754726282,0.05
2,36.59540675,37.96856008782806,172.5134,182.24510917317394,173.7754496519658,-8.469659521208143,1.2620496519658104,0.05
3,36.59540675,38.31642416855174,172.5134,182.24510917317394,171.5773335403361,-10.667775632837845,-0.9360664596638912,0.05
4,36.59540675,33.025460434382495,172.5134,182.24510917317394,205.4339230951437,23.188813921969768,32.92052309514372,0.05
5,36.59540675,34.21271731424296,172.5134,182.24510917317394,197.92698149846004,15.681872325286093,25.413581498460047,0.05
6,36.59540675,36.82932532764954,172.5134,182.24510917317394,180.8219266999486,-1.4231824732253529,8.308526699948601,0.05
7,36.59540675,36.01675543507561,172.5134,182.24510917317394,185.94099634876932,3.6958871755953737,13.427596348769328,0.05
8,36.59540675,36.564664490362986,172.5134,182.24510917317394,182.43214795197628,0.18703877880233222,9.918747951976286,0.05
9,36.59540675,35.034532274741366,172.5134,182.24510917317394,192.51499683612602,10.269887662952073,20.001596836126026,0.05
10,36.59540675,38.20450307926158,172.5134,182.24510917317394,172.28455099460166,-9.960558178572285,-0.22884900539833097,0.05
11,36.59540675,38.0185873621946,172.5134,182.24510917317394,173.45933262839372,-8.78577654478022,0.9459326283937344,0.05
12,36.59540675,36.71622776176195,172.5134,182.24510917317394,181.51002285354616,-0.7350863196277828,8.996622853546171,0.05
13,36.59540675,38.657999273717806,172.5134,182.24510917317394,169.41895679607654,-12.8261523770974,-3.094443203923447,0.05
14,36.59540675,37.45084147695693,172.5134,182.24510917317394,177.0405644011148,-5.204544772059137,4.527164401114817,0.05
15,36.59540675,35.02309889017893,172.5134,182.24510917317394,192.59029030833665,10.345181135162704,20.076890308336658,0.05
16,36.59540675,37.27013599664403,172.5134,182.24510917317394,178.1399934203114,-4.105115752862531,5.626593420311423,0.05
17,36.59540675,34.84087180985825,172.5134,182.24510917317394,193.79032950348494,11.545220330310997,21.27692950348495,0.05
18,36.59540675,38.20276905429999,172.5134,182.24510917317394,172.29550811382506,-9.949601059348879,-0.21789188617492528,0.05
19,36.59540675,36.504053799004694,172.5134,182.24510917317394,182.80090905893042,0.5557998857564712,10.287509058930425,0.05
20,36.59540675,36.25715108066475,172.5134,182.24510917317394,184.3298536144616,2.084744441287654,11.816453614461608,0.05
21,36.59540675,35.34946206772228,172.5134,182.24510917317394,190.41322735706547,8.168118183891522,17.899827357065476,0.05
22,36.59540675,38.83237662787329,172.5134,182.24510917317394,168.31708484978327,-13.928024323390673,-4.196315150216719,0.05
23,36.59540675,36.31265328744127,172.5134,182.24510917317394,183.96540764711665,1.7202984739427052,11.452007647116659,0.05
24,36.59540675,35.81166520627997,172.5134,182.24510917317394,187.3155205469587,5.070411373784765,14.802120546958719,0.05
25,36.59540675,35.95108322447808,172.5134,182.24510917317394,186.38113454133452,4.136025368160574,13.867734541334528,0.05
26,36.59540675,37.5694103081043,172.5134,182.24510917317394,176.29763463852447,-5.947474534649473,3.784234638524481,0.05
27,36.59540675,37.26408545898883,172.5134,182.24510917317394,178.17680545649506,-4.068303716678884,5.66340545649507,0.05
28,36.59540675,37.350612640017246,172.5134,182.24510917317394,177.6503660059197,-4.594743167254251,5.136966005919703,0.05
29,36.59540675,37.38371024207582,172.5134,182.24510917317394,177.44899710384743,-4.796112069326512,4.935597103847442,0.05
30,36.59540675,40.51413000345081,172.5134,182.24510917317394,158.1672662472908,-24.077842925883147,-14.346133752709193,0.05
31,36.59540675,35.85176060830486,172.5134,182.24510917317394,187.0467993082971,4.8016901351231525,14.533399308297106,0.05
32,36.59540675,35.658120198744854,172.5134,182.24510917317394,188.34458628844982,6.099477115275874,15.831186288449828,0.05
33,36.59540675,35.106389550385586,172.5134,182.24510917317394,192.04178754649737,9.79667837332343,19.528387546497385,0.05
34,36.59540675,37.72250762593902,172.5134,182.24510917317394,175.33022897744075,-6.91488019573319,2.816828977440764,0.05
35,36.59540675,38.661166763080054,172.5134,182.24510917317394,169.39894176783304,-12.846167405340907,-3.114458232166953,0.05
36,36.59540675,36.386909071949574,172.5134,182.24510917317394,183.51362851905543,1.2685193458814865,11.00022851905544,0.05
37,36.59540675,35.058113349595466,172.5134,182.24510917317394,192.35970589891267,10.114596725738721,19.846305898912675,0.05
38,36.59540675,35.08679547770223,172.5134,182.24510917317394,192.17082245816496,9.92571328499102,19.657422458164973,0.05
39,36.59540675,37.78584213495307,172.5134,182.24510917317394,174.93002495408666,-7.315084219087282,2.4166249540866716,0.05
40,36.59540675,37.955391185691205,172.5134,182.24510917317394,173.85866254333217,-8.386446629841771,1.3452625433321828,0.05
41,36.59540675,37.589254318831365,172.5134,182.24510917317394,176.17224244624134,-6.072866726932602,3.6588424462413514,0.05
42,36.59540675,35.37767682828484,172.5134,182.24510917317394,190.22413072692794,7.979021553753995,17.71073072692795,0.05
43,36.59540675,37.02020865246224,172.5134,182.24510917317394,179.66057472425635,-2.5845344489175943,7.1471747242563595,0.05
44,36.59540675,36.80891498237289,172.5134,182.24510917317394,180.94610514683413,-1.2990040263398157,8.432705146834138,0.05
45,36.59540675,36.99555665744425,172.5134,182.24510917317394,179.81055976431668,-2.434549408857265,7.297159764316689,0.05
46,36.59540675,38.18992127913348,172.5134,182.24510917317394,172.37669183803536,-9.868417335138588,-0.1367081619646342,0.05
47,36.59540675,37.00453525274495,172.5134,182.24510917317394,179.75593315195218,-2.489176021221766,7.242533151952188,0.05
48,36.59540675,37.83766264943539,172.5134,182.24510917317394,174.6025766370326,-7.642532536141346,2.089176637032608,0.05
49,36.59540675,36.719060926786625,172.5134,182.24510917317394,181.49278561293278,-0.752323560241166,8.979385612932788,0.05
50,36.59540675,37.124428849718775,172.5134,182.24510917317394,179.0264893105112,-3.2186198626627345,6.513089310511219,0.05
51,36.59540675,37.75051922005237,172.5134,182.24510917317394,175.15322669481094,-7.091882478363004,2.6398266948109494,0.05
52,36.59540675,33.92914625371261,172.5134,182.24510917317394,199.74889160325407,17.503782430080122,27.235491603254076,0.05
53,36.59540675,36.010481840556864,172.5134,182.24510917317394,185.98304226936867,3.7379330961947232,13.469642269368677,0.05
54,36.59540675,35.734732819603906,172.5134,182.24510917317394,187.8311249603512,5.586015787177246,15.3177249603512,0.05
55,36.59540675,35.42640701399851,172.5134,182.24510917317394,189.89753876865174,7.652429595477798,17.384138768651752,0.05
