window_start,window_end,mean,standard_deviation,rms,maximum_error,slope,skewness,kurtosis,autocorrelation_lag1,dominant_frequency_energy,wavelet_detail_energy,dropout_ratio,spike_count
0,30,-14.860595194782801,1.4387589378645798,14.930080938309976,16.48400307445172,-0.029892690881238217,1.1202395324243783,3.499961635224082,0.06601008063094001,214.92340527541182,23.385152163720377,0.0,0
10,40,-15.34946497624159,1.3257028979286323,15.406607778172441,17.95140078987015,-0.002142356763553418,1.1950772191884986,5.538140322861479,-0.058449208611761484,165.41399868310194,26.087359401508365,0.0,0
20,50,-15.222631176686082,1.386609618523821,15.285652952216267,17.95140078987015,-0.006070312090359395,0.882777543370355,4.454114570354601,0.039938748948464116,175.37557600080655,25.788911401048125,0.0,0
30,60,-15.64784292051761,1.45990358241153,15.715797992311147,19.62451394406071,-0.018633219407856418,-0.41044389034030454,3.0596671352726195,0.03640054596494587,218.1736474189335,39.4240371305256,0.0,1
40,70,-15.129380921696498,1.595002456983154,15.2132245073678,19.62451394406071,0.04319634829218607,-0.5613882403198872,3.202134291356662,0.30702212695548964,304.0008067189684,35.07937653336823,0.0,1
50,80,-15.071090551879138,1.5776589081502401,15.153441129110128,19.62451394406071,0.05035402270134791,-0.6558709877202633,3.400990996179969,0.2832906578859902,309.4644778265431,35.99395270816079,0.0,1
60,90,-14.690533412750915,1.153355216499552,14.73573887548832,16.39623126182596,-0.04086926775448247,0.14618058484853116,1.7972596568579675,0.291668070384236,181.94196016885508,18.942785591221906,0.0,0
70,100,-15.231172656684983,1.1265734740204523,15.27277932434417,17.660455364953123,-0.0282184545561431,-0.23170790876494987,2.411806497129261,0.2924711219700463,129.9018168553396,14.297000117109928,0.0,2
80,110,-15.44784083127187,1.2384113290847631,15.497401361786945,18.74782884367187,-0.010749991603202853,-0.5730397978603314,3.087460631704926,-0.05695658267702805,156.3068596901178,21.46609195076508,0.0,1
90,120,-15.484431435910786,1.2731716869366296,15.536685072364671,18.74782884367187,0.045057729035874086,-0.5854614110116523,2.7977524600824006,0.0762095919607276,93.26657596551946,20.481901324013247,0.0,1
100,130,-15.372343052241263,1.4487067001838607,15.440456017195471,18.74782884367187,-0.0007409418190086332,-0.15697298818226504,3.0379092146125592,0.008609937678111341,199.6949738789518,24.48287348407424,0.0,1
110,140,-15.366389633347012,1.3617692043850966,15.426611608835108,18.26304478810789,-0.038486239626627575,0.16699851810277722,2.781531984224886,0.10421774141443965,114.65715507615784,22.326911300918997,0.0,1
120,150,-15.690320312425047,1.393417046209433,15.752071691405073,18.26304478810789,-0.032779704768560174,0.45322289018458,3.0443890369957836,0.19534444318835606,255.50023623290954,22.027544640586193,0.0,0
130,160,-15.513863080100577,1.346576325796981,15.572193662721535,18.074851084250895,0.04051163707909246,0.5026194341421134,3.3722818150440816,0.2626702977421387,196.99702978242996,23.05654100488007,0.0,0
140,170,-15.512665151633549,1.3083530775053513,15.56774125819554,18.074851084250895,0.026941359466476043,0.52284231223827,3.638476109267598,0.30392045938530177,196.31885482858337,20.176590600863328,0.0,0
150,180,-15.278916117291912,1.4060015370125998,15.34347151205764,18.25389977377972,-0.013666889293221636,0.40014041470103123,3.301808374451523,-0.01388640486190391,334.3747969498953,28.157842654319893,0.0,1
160,190,-15.61077179165815,1.3012804407529792,15.664913875177104,18.25389977377972,-0.0029316197227420176,0.34350708293922355,3.1838149109990725,-0.30055167429677904,162.10547129584958,32.32294802925448,0.0,1
170,200,-15.693607488348766,1.3880187660564296,15.75486947242919,18.25389977377972,-0.011204658550715112,0.3948754694833609,2.936031674794222,-0.31669423295724575,273.11537357301603,31.97113248185472,0.0,0
180,210,-15.683838365811615,1.2128645203314834,15.730665155344935,17.901744639976187,0.013748477468434646,0.6142750639730654,3.81810160383439,-0.37230924059399373,146.37305489849197,26.4054926613524,0.0,0
190,220,-15.525413272763755,1.2832963640864912,15.578360210503112,17.901744639976187,0.0018175746489447215,0.4243522823143653,3.032689716929372,-0.4202539250880771,146.27666904875693,25.959929758995244,0.0,0
200,230,-15.394220197963431,1.2606105767875073,15.445748752640444,17.452851175964952,-0.018373065367040222,0.3775168800640184,2.761004133877346,-0.39236625549690207,161.4155753133835,26.59074237830504,0.0,0
210,240,-15.260652427972325,1.316921442551944,15.31736904997822,17.452851175964952,0.014682190755348995,0.21392781835316257,2.703544973737826,-0.3088308735930287,154.574022177702,28.761374965747454,0.0,0
220,250,-15.19827908262727,1.2751420924843417,15.251677757855067,17.369111669307813,-0.000642757810019205,0.4427839112253906,3.0167341103021315,-0.060964422818930476,140.34441158336534,21.962816120541437,0.0,0
230,260,-14.860748881372547,1.5107533169201646,14.937343569048702,17.349016789255984,0.020256028703974364,0.39336672868532335,2.6442083239871996,-0.11204190337550196,194.85513099132478,39.13970616970435,0.0,0
240,270,-15.103220877424338,1.596669438977526,15.187384046294186,18.873729953395014,-0.009421651821494424,0.17577478093400528,3.0453114787475974,-0.03506379197485036,344.0731782549127,38.2934919951828,0.0,1
250,280,-15.296185121908268,1.6104785364426975,15.38073211521579,18.873729953395014,-0.039084341811257854,0.20976174184428548,3.117092679062746,0.015717987041351054,281.31907099966634,40.90612274571029,0.0,1
260,290,-15.524481663049421,1.3268345402888506,15.581078935800988,18.873729953395014,0.04192487906031051,-0.12832808173425814,3.3718587328340615,-0.03165501605809631,160.21505990955512,29.251113568124367,0.0,0
270,300,-15.473661633104605,1.3548329638675654,15.532861188325723,17.80292529992812,0.019485453902337906,0.05972582055585325,2.4637915711105265,-0.22872512470014025,161.06960436086337,39.071578591684116,0.0,0
