Log Point,Engine Speed,MF_IA,MF_FUEL,Torque,BMEP,BSFC,IMEP,p_0,p_11,p_21,p_2_1,P_IM,p_31,p_41,p_4_1,T_0,T_11,T_21,T_2_1,T_IM,T_31,T_41,T_4_1,T_OIL,T_Water,Humidity rel,Turbine Speed,q_MI,phi_MI,Delivery Ratio,Rail Pressure,Duration_Main,FMEP,NOx_EO,SOC,MFB50,PFP,P_SOI,EGR_Rate,EGR_Temperature,ECU_VTG_Pos,ECU_EGR_Pos,ECU_Exh_Flap_Pos
130,1200.0,685.1719,31.063932,1299.982,1266.205956,190.1457571,818.6846,1.012633,1.007550648,1.949874,1.9349,1.925373,2.091955,1.1758215,1.07988144,24.1609,25.55791,111.188,25.55354,45.08349,506.46785,396.1679,533.419,108.1995,87.5328,55.8,66338.06,143.8145,-5.245438355,0.882082673,1415.032,1527.562,0.4799185,385.8535,-3.372717,12.5888,112.168,79.52931,20.66628318,93.489,28.4,52.94395,52.79681
131,1200.0,576.1948,25.2418464,1040.008,1012.986583,193.1310007,789.8386,1.012577,1.009124588,1.6274501,1.613754,1.6057786,1.7458935,1.1659909,1.0665534,24.39229,25.35858,86.8463,23.93981,43.0153,482.53335,393.2734,402.5009,108.5539,86.7063,57.1,55883.94,116.8604,-4.998786899,0.88599512,1335.522,1297.208,0.4270226,331.2147,-1.803632,12.78208,94.81834,71.14564,20.87693774,89.1232,31.53185,51.35542,47.98089
132,1199.997,486.6204,19.38331634,779.9943,759.7285412,197.7449,588.1459,1.012564,1.010241291,1.3939752,1.3816403,1.3752044,1.5432117,1.1689696,1.05690788,24.67218,25.73109,67.85309,23.48958,41.92999,437.84385,369.1147,358.5077,107.9742,86.3009,53.9,45977.53,89.7378,-4.751008436,0.877849439,1222.868,1091.885,0.5655137,293.144,-1.027823,11.24823,86.83514,66.1754,21.51955157,88.0523,34.2,39.14906,42.10943
133,1200.001,406.1001,13.63699856,520.0134,506.5024472,208.6754934,388.5214,1.012549,1.011174958,1.2323784,1.2226687,1.2171349,1.43300515,1.1820689,1.04476262,24.55069,26.17297,54.10102,23.35861,43.93674,376.4969,325.2839,281.7608,107.4632,85.823,53.1,33048.23,63.1342,-4.450134547,0.88026879,1073.302,877.6533,0.5810624,220.2308,1.014698,10.93506,75.39126,61.14503,25.73343437,88.4853,33.54654,35.82138,34.91447
134,1200.0,324.5649,8.1124632,259.9845,253.2296004,248.2977787,38.33441,1.012525,1.011934991,1.0998332,1.09159979,1.08589068,1.3608333,1.2338635,1.03133716,24.74832,26.06837,42.50069,23.32573,48.10278,295.62605,269.5716,130.0633,106.8314,84.4771,55.8,21207.38,37.5577,-4.290848269,0.890717569,964.28,639.3952,0.3702212,157.1064,3.599991,10.02977,67.19008,55.51333,33.38701943,87.156,35.80255,34.69682,25.0
135,1124.999,1100.243,57.26069185,2584.263,2517.118855,188.0687085,2401.187,1.012545,0.99895338,3.400045,3.380434,3.365448,3.6203605,1.2099641,1.1697513,24.70907,25.1898,200.623,35.23295,54.22905,616.27395,430.3342,479.8664,109.3601,88.4289,56.5,95404.1,282.7691,-5.003603183,0.872984444,1659.665,2483.016,1.587403,509.0544,-4.301985,14.15055,204.9797,155.9632,19.1917385,98.7725,24.59747,58.16013,78.71899
136,1125.0,1008.359,51.8400405,2340.037,2279.238318,188.0350814,2100.809,1.012534,1.0011478,3.104657,3.086341,3.072681,3.302248,1.1973052,1.1477395,24.1883,25.6046,185.8054,32.94006,52.17526,602.3784,428.7419,492.6497,108.7512,88.0358,54.6,90821.4,256.0002,-4.93236161,0.872877023,1563.025,2533.496,1.057441,465.5779,-4.170668,14.53331,184.4211,139.6856,19.38280252,96.3431,24.72405,59.98354,73.51582
137,1125.001,904.287,46.13049275,2080.208,2026.160177,188.2249628,1801.664,1.012503,1.00343034,2.807727,2.791088,2.778219,2.9949885,1.1735166,1.1284815,23.98054,25.72867,169.7437,30.65914,50.90518,585.1795,423.4696,506.9114,108.2017,87.966,53.5,85557.9,227.8047,-4.929099762,0.872944836,1508.806,2304.454,1.071642,401.9725,-4.159623,13.86665,167.6012,124.1545,20.35897136,97.067,24.425,59.73312,71.79063
138,1125.0,802.3282,40.4350785,1820.015,1772.727494,188.5730381,1529.345,1.012501,1.005374015,2.496008,2.480399,2.469391,2.6465055,1.1514356,1.1103185,24.23937,25.69924,150.987,28.42624,49.00961,563.86695,417.0276,500.8948,108.459,87.8776,55.6,79412.98,199.6794,-5.01928561,0.868205695,1454.329,2064.611,0.6529329,386.1127,-4.02059,13.33197,149.3306,108.4255,20.53499315,93.9721,24.74937,72.27531,69.99367
139,1125.0,730.0635,34.687521,1560.025,1519.492537,188.7287137,1049.992,1.012486,1.006620661,2.225662,2.210713,2.200776,2.356822,1.1407049,1.09504392,24.1984,25.19238,131.892,26.8637,46.40691,534.3577,404.4181,546.2031,109.296,87.6746,58.3,73296.95,171.2964,-5.194026279,0.875582618,1296.138,1899.325,0.798449,394.7264,-3.771121,12.65609,127.8541,89.49142,20.20032087,90.8276,25.47359,64.33018,65.45598
140,1125.001,652.9549,29.07789185,1299.999,1266.222514,189.852267,1042.772,1.012468,1.00792078,1.930918,1.9169,1.908398,2.0480915,1.1410209,1.07781745,24.0874,25.44492,110.5632,25.28899,43.40435,505.01505,393.6437,453.3285,108.9564,87.4182,55.6,65577.84,143.5944,-4.691976594,0.886029303,1252.722,1636.52,0.6187053,401.0133,-2.925588,12.57137,110.1052,78.56919,19.42889577,87.8586,27.1,53.18734,57.24937
141,1125.0,528.6777,23.5944495,1040.0,1012.978791,192.5629738,797.6995,1.01247,1.009612761,1.5924444,1.5805185,1.5728883,1.6745602,1.1291765,1.0612002,24.23612,26.02529,85.3578,23.63314,42.15178,481.5137,390.2046,402.5959,108.3878,86.383,52.8,54271.98,116.5158,-4.397598901,0.877794951,1250.24,1349.548,0.5705294,336.2411,-1.744878,12.72578,94.14526,70.45709,20.4222377,83.82343,30.53671,68.02595,51.3
142,1125.0,442.8659,18.06848775,779.9805,759.7150997,196.6230077,592.7217,1.012456,1.010577403,1.3585076,1.3473343,1.3415375,1.4683223,1.1352625,1.05225379,24.28261,25.87806,65.51041,23.43499,41.37079,436.7377,367.9325,369.5677,107.8921,86.0325,54.8,43828.91,89.2271,-4.2046101,0.865344544,1157.376,1124.621,0.5612325,303.3471,-0.8114163,11.33209,85.00251,64.85806,20.91484113,84.8922,33.77007,41.62548,44.00319
143,1125.0,378.4271,12.64201425,519.9916,506.4812136,206.3555824,401.0645,1.012431,1.011323659,1.2266912,1.217928,1.2131323,1.4006409,1.152105,1.04224331,24.3928,25.59506,53.5135,23.32032,43.80159,369.46455,319.162,296.7371,107.2792,85.1666,57.4,32066.66,62.4297,-4.149813562,0.882893769,1033.656,889.9672,0.4242306,227.1037,1.318482,10.86078,74.60001,60.4638,26.18853673,86.998,30.75625,36.22937,35.575
144,1125.001,292.9481,7.408772836,260.0379,253.281613,241.827406,47.99929,1.012404,1.012067539,1.06384254,1.0563935,1.05138731,1.2675914,1.1961485,1.02969124,24.46263,25.73606,39.73886,23.22379,47.66792,290.80645,267.2458,140.141,106.594,83.40544,55.2,17458.97,36.5865,-4.133241904,0.884622967,917.063,651.986,0.4124228,159.3791,3.17683,9.623742,66.03698,53.62617,33.39708369,85.0766,48.46012,36.32532,25.15317
145,1100.0,1082.289,56.06766,2589.729,2522.442837,187.9378365,2393.23,1.012515,0.99935834,3.376404,3.356025,3.341518,3.5926815,1.1998138,1.1685158,24.78782,25.74852,200.4368,34.99461,52.51098,613.1919,428.6927,486.7012,109.96,88.275,53.7,95079.0,283.17,-4.945691473,0.872086728,1586.658,2547.015,1.548082,539.3519,-4.255547,13.9544,204.178,154.4329,18.46753102,93.7717,24.41266,54.51266,81.60949
146,1100.0,993.852,50.6249964,2340.142,2279.34059,187.7927865,2094.058,1.012526,1.00144895,3.086263,3.068005,3.054624,3.276209,1.185587,1.147954,24.40544,25.5255,185.1357,32.7286,50.64692,599.3949,426.0982,501.479,108.8199,87.9464,55.7,90415.0,255.6818,-4.839500622,0.873572954,1485.212,2614.962,1.069779,496.3083,-4.083595,14.38156,183.9386,139.0777,18.70523204,91.3172,24.59615,57.00192,77.44423
147,1100.001,889.875,45.03060674,2079.987,2025.944919,187.9329345,1796.837,1.012524,1.00377164,2.783794,2.767621,2.755048,2.9608015,1.1624331,1.1282089,24.58381,25.40835,168.5341,30.41046,49.38575,583.4062,422.0242,514.2419,108.2182,87.9857,56.0,85066.2,227.4271,-4.845025081,0.8720481,1435.21,2367.94,1.057434,429.4987,-4.100966,13.76772,165.9561,122.2581,19.46920879,92.4273,24.31083,58.28854,76.06688
148,1100.001,783.8592,39.51954893,1820.048,1772.759637,188.4884983,1533.495,1.012548,1.00580978,2.472803,2.457422,2.446966,2.617992,1.1407467,1.1093538,24.47845,25.52717,149.9267,28.16555,48.03488,564.36925,417.3165,504.6448,108.9571,88.3552,54.6,78790.25,199.5935,-4.964510272,0.867731377,1392.696,2110.818,0.6700847,395.1494,-3.991742,13.14826,148.7501,107.3225,20.0709545,90.9651,24.38987,70.75,74.19051
149,1100.0,705.1996,33.9332202,1559.956,1519.425329,188.8290632,1050.578,1.012542,1.007182601,2.196515,2.182024,2.172793,2.3267725,1.1296548,1.09363716,24.22466,25.61194,131.0804,26.60622,45.83622,536.8844,405.8106,548.2134,109.4752,88.1199,55.0,72498.48,171.3799,-5.122675845,0.872179282,1270.012,1922.626,0.78338,392.6819,-3.761691,12.4203,128.1881,89.20168,19.98250235,88.8673,24.925,63.71625,68.47437
150,1099.999,632.8672,28.42190396,1300.004,1266.227385,189.7863554,1040.041,1.012542,1.00835887,1.916862,1.902624,1.894606,2.0300865,1.1314462,1.07667058,24.52223,25.51263,110.089,25.11496,43.11952,506.4138,394.6628,452.9958,108.9619,87.6634,55.8,65014.59,143.5451,-4.609420825,0.883238022,1224.414,1655.53,0.5994368,396.8452,-2.93181,12.39133,110.1986,78.18033,19.36960946,86.4168,26.45987,52.81083,58.50701
151,1100.0,520.4308,23.0456556,1039.928,1012.908661,192.372021,798.6939,1.012538,1.009825911,1.5973466,1.5856374,1.5782045,1.6820102,1.1222398,1.06035897,24.51503,25.28547,85.6288,23.56155,41.69551,479.3842,386.6668,401.3944,108.3499,86.2963,52.9,54323.81,116.3922,-4.292539641,0.875916336,1206.331,1376.909,0.5798286,343.4758,-1.733896,12.60101,94.29206,70.36475,20.09762326,82.83201,29.30255,60.38917,52.00319
152,1100.0,434.134,17.6475222,780.0203,759.7538656,196.3965903,589.1869,1.012514,1.010802966,1.3482489,1.3374501,1.3319812,1.4525488,1.129722,1.05098013,24.23231,25.83055,64.76074,23.41384,41.11671,436.72415,367.2639,372.4011,107.9374,86.1574,56.2,43174.85,89.1289,-4.129336623,0.869818704,1132.22,1139.207,0.5536961,310.3195,-0.8461092,11.2337,84.84136,64.3991,20.61829051,84.1318,33.46855,41.28553,44.08742
153,1100.0,368.0721,12.3132636,519.9488,506.4395257,205.5742472,401.7949,1.01252,1.011523363,1.2110968,1.2026591,1.1972628,1.37295345,1.1459155,1.04151726,24.31938,25.70519,52.3139,23.28945,43.46499,368.528,318.8445,299.8662,107.3329,85.5442,55.4,30771.65,62.1882,-4.078466565,0.889037224,1039.096,884.2437,0.4167366,232.2744,1.286267,10.663,74.5059,59.9076,26.19597569,86.5921,31.53205,36.14359,35.59487
154,1100.001,286.5547,7.201583347,260.0124,253.2567755,240.4305492,50.06621,1.012598,1.012336063,1.06212534,1.05474363,1.05001809,1.2567383,1.1880435,1.02960377,24.2855,25.73698,39.48475,23.18399,47.43508,288.55505,265.6418,143.5728,106.4999,83.63927,55.8,17128.66,36.3716,-4.060768472,0.887013306,926.752,646.1418,0.4130439,162.6764,3.051628,9.424333,66.16904,53.35262,33.51117813,84.9187,48.59236,36.33503,25.2
155,1000.001,983.666,51.48219348,2592.4,2525.04444,189.6284052,2383.296,1.01239,1.00160265,3.197446,3.178592,3.169191,3.4556435,1.1750331,1.1590461,24.31715,25.83105,193.6394,33.19433,46.00192,630.2304,447.8888,521.1627,111.4897,88.5413,48.9,92205.3,286.0119,-4.70823771,0.861313372,1296.019,2859.22,1.383157,671.5327,-4.049983,13.37555,205.5523,154.2396,14.71888396,80.06084,22.92372,35.88718,93.2359
156,999.999,917.014,46.36411964,2339.883,2279.088319,189.2069596,2083.166,1.01242,1.00320873,2.950272,2.932335,2.923782,3.182087,1.1591086,1.144468,24.13769,25.44702,179.7123,31.42943,43.91497,612.32375,441.0917,527.7234,110.1327,87.1932,54.4,88040.5,257.5787,-4.475846601,0.864392865,1186.648,2936.1,1.14036,627.4975,-3.773032,13.94552,184.0459,138.7019,14.6926811,78.1709,23.03396,35.82138,93.2346
157,1000.0,813.3239,41.35464,2079.941,2025.900114,189.8549942,1789.833,1.012367,1.005246697,2.644056,2.628424,2.620277,2.8339155,1.1380445,1.1256706,23.94416,25.15589,162.0236,29.16964,42.69146,597.96945,438.2641,525.5492,109.8609,87.9113,56.5,82286.32,229.748,-4.545124074,0.86279724,1140.627,2659.47,0.9964051,532.6101,-3.812956,13.30817,164.4603,119.6724,15.74522714,77.98576,23.1,39.7981,93.2348
158,999.997,702.8462,36.32489902,1819.827,1772.544379,190.600665,1293.225,1.012323,1.007168065,2.339303,2.325153,2.318396,2.5085995,1.1172467,1.1055525,24.2029,25.55978,143.713,27.06275,42.30139,581.6183,433.7341,573.8415,110.3028,88.6884,54.7,75783.49,201.8056,-4.696905177,0.860558794,1154.437,2349.389,0.6729341,440.8266,-3.936688,12.53793,148.7581,105.0843,17.59687636,80.64723,22.79937,43.32911,91.4772
159,1000.001,601.7695,31.24416124,1559.783,1519.256824,191.2727274,1025.218,1.012335,1.008764842,2.045945,2.033764,2.027622,2.1912395,1.1022113,1.08568624,23.92346,25.8979,123.8534,25.30424,42.97477,560.51135,427.6672,570.3786,109.9709,88.4789,53.8,68376.0,173.5785,-4.825946732,0.859611623,1168.297,2039.228,0.6679472,388.6867,-3.820029,11.68047,130.6752,89.08416,19.06865056,82.29503,22.65063,46.81456,81.23164
160,1000.0,538.3134,26.07642,1299.877,1266.103684,191.5554466,789.6366,1.012354,1.009576661,1.8174394,1.8061142,1.8006094,1.951219,1.1022255,1.07134051,24.0381,25.82843,105.5362,24.3244,41.72477,523.6607,409.1571,537.9595,109.3158,88.2103,54.2,61655.71,144.869,-4.278190486,0.861070533,1114.43,1770.307,0.4507739,391.0304,-3.027736,11.74735,111.813,77.62236,18.93514606,82.96954,23.47468,42.52215,64.0443
161,1000.0,462.7433,21.040236,1039.985,1012.96418,193.1845224,801.1747,1.012382,1.010500141,1.5463052,1.5363336,1.5311366,1.6419041,1.1023786,1.05628225,24.00162,25.52633,83.12702,23.46934,40.29219,487.79425,394.9832,405.9057,108.5808,86.837,57.0,51935.58,116.8902,-3.866085435,0.8617703,1026.529,1520.129,0.5657408,370.007,-1.805001,12.17133,94.12322,68.79378,18.49018204,78.78072,26.40892,44.8242,53.84522
162,1000.0,380.7975,16.040052,780.0205,759.7540604,196.3579785,549.9671,1.012395,1.011433514,1.2707871,1.2620515,1.2577675,1.35414905,1.1095959,1.04619163,24.25043,25.73462,59.54777,23.36962,40.29318,446.09245,376.9716,393.7176,108.1624,86.3563,55.6,35176.58,89.1114,-3.795291343,0.873315578,1040.91,1195.684,0.5230954,338.7699,-0.8775077,11.01765,83.24083,62.04405,19.42521993,80.35284,34.29679,42.14103,44.13333
163,1000.001,313.3689,11.05112905,519.9903,506.4799474,202.9363155,398.3453,1.012376,1.012029967,1.1337744,1.1259632,1.1222579,1.2461999,1.118381,1.03718608,24.1483,25.98413,46.52927,23.24765,43.2691,372.8864,327.8281,302.1528,107.4575,85.4607,53.8,23616.78,61.3951,-3.795291343,0.883427866,1055.582,866.2274,0.3351582,248.9228,1.018994,10.13324,73.04146,57.00047,25.83958092,84.2532,38.39557,38.28418,35.82532
164,1000.0,258.5511,6.413004,259.9672,253.2127499,235.5546876,47.90172,1.012324,1.012393834,1.0498889,1.04349969,1.03993433,1.2093347,1.1561196,1.02835805,24.17932,26.05774,38.67154,23.23276,47.34146,283.22285,265.8988,142.4137,106.4799,83.60636,55.2,15391.25,35.6278,-3.727297868,0.891561143,963.348,625.2946,0.3622149,176.0171,2.57987,8.743637,66.40957,52.14057,33.72898919,83.87335,49.44241,36.47469,25.29367
165,900.0,820.6619,40.6891188,2288.559,2229.097816,188.6350793,1811.98,1.01229,1.004850154,2.725992,2.710594,2.706525,2.8878885,1.1376683,1.1265361,24.28802,25.68432,167.6574,29.48384,38.87795,600.7627,438.665,585.4751,111.5107,88.9268,54.2,83883.67,251.1674,-4.644253794,0.862793059,972.369,2992.475,1.142395,1047.076,-3.935521,12.25865,175.4693,123.1084,9.652869173,63.98312,23.62739,30.03567,100.0
166,900.001,724.8901,36.55524342,2048.026,1994.814328,189.3738548,1545.772,1.012283,1.006636794,2.483214,2.469219,2.465324,2.685294,1.1203345,1.1100124,23.81474,25.88409,154.5222,27.7722,38.21391,588.4911,435.0494,596.2741,110.78,87.883,54.0,78889.19,225.6494,-4.556325399,0.853120227,1002.283,2712.158,0.9629645,878.637,-3.875693,11.82853,157.4856,107.0245,11.58397263,69.84326,22.22516,28.57547,100.0
167,900.001,639.6804,32.71420295,1821.078,1773.762875,190.5959206,1279.288,1.012294,1.008135368,2.230245,2.217858,2.214111,2.4331885,1.1033117,1.09438336,23.76275,25.69098,138.2644,26.16187,37.89406,578.5702,435.0608,604.7506,110.5419,88.2205,54.8,73040.62,201.9393,-4.552943229,0.854574188,1016.389,2464.835,0.6782259,733.2108,-3.842341,11.37754,145.3202,97.59306,13.36156579,74.35396,21.41465,29.27389,98.1146
168,900.001,553.7318,28.76157676,1593.064,1551.67312,191.5513745,1034.179,1.012239,1.00928081,1.977212,1.966127,1.962659,2.1238665,1.08923424,1.079359,23.45936,25.68554,120.0444,24.74529,38.39137,563.7591,430.7646,592.4504,110.2121,88.1867,55.2,66325.62,177.5404,-4.639216349,0.85180795,1003.095,2248.73,0.5581821,606.0063,-3.717697,10.91435,130.6325,85.96913,14.9834552,72.51135,21.7,35.53354,91.5158
169,900.0,485.437,24.7448358,1365.971,1330.480434,192.1982304,808.9733,1.01221,1.01011636,1.770626,1.760686,1.7574847,1.907282,1.07938339,1.06617229,23.78428,25.85734,103.931,23.71827,39.36746,537.7951,418.4915,576.014,109.9874,88.3659,55.8,59872.18,152.7459,-4.332896496,0.852424486,1046.357,1933.401,0.448178,529.9739,-3.308385,10.69773,116.8935,77.47954,16.56755451,76.30766,21.60064,36.84904,81.01911
170,900.001,424.9821,20.697953,1137.938,1108.372172,192.9810216,601.0787,1.012244,1.010825544,1.5708055,1.5618839,1.5587999,1.6823076,1.07468955,1.05569684,23.77767,26.10732,87.1584,23.40751,39.64552,503.4891,400.6645,555.0107,109.0737,86.3086,54.0,52542.17,127.765,-4.012210872,0.853647775,1032.192,1644.094,0.3594246,457.0352,-2.621749,10.75112,103.584,70.97233,17.69297967,75.62358,22.55192,39.82756,66.44807
171,899.999,361.9454,16.70163064,909.996,886.3525458,194.726995,375.1831,1.012261,1.011498275,1.3548065,1.3461832,1.3432706,1.4319905,1.07912692,1.04386887,23.76647,26.0774,68.14977,23.36579,40.59215,466.9748,383.2949,616.0679,108.6087,86.0848,54.8,39555.17,103.0966,-3.782045704,0.859013845,1012.27,1369.739,0.3707799,391.6755,-1.911178,10.89953,90.40414,64.41579,18.91733383,74.41324,26.14969,47.66855,51.04969
172,900.0,295.953,12.7441026,682.9917,665.2462561,197.9703363,534.2105,1.012216,1.012018433,1.1402194,1.1327094,1.1300695,1.20493985,1.08979149,1.03696147,23.59308,25.80712,48.54489,23.1879,41.62155,421.64425,360.981,379.8522,108.2368,85.5417,55.7,23798.83,78.6673,-3.784626879,0.858832803,1047.41,1076.572,0.4498274,340.7301,-0.8549081,10.92074,76.06671,56.32909,20.91762141,76.95134,42.54551,49.92308,41.27243
173,899.999,260.6259,8.793998229,454.9995,443.1777339,205.0606004,369.7393,1.012234,1.012267203,1.105853,1.0995643,1.0967939,1.20824285,1.0980194,1.0314383,23.636,25.80776,43.64344,23.2758,45.26248,341.09515,304.0116,317.956,107.2812,84.8887,56.9,20251.46,54.284,-3.767734937,0.885505827,1042.019,790.6294,0.2337682,234.2266,0.9353037,9.40796,71.12643,54.57047,29.6009226,83.49097,32.20443,39.60316,33.52531
174,900.0,234.1006,5.1890706,227.9991,222.0752429,241.4697511,121.6129,1.012296,1.01253761,1.0645088,1.05896984,1.05596948,1.19980375,1.1204475,1.02634126,23.81235,25.89863,39.5479,23.27913,47.68159,256.7619,243.2752,309.466,106.2467,84.314,55.3,15819.4,32.0313,-3.689100491,0.900593534,977.051,593.6774,0.270919,189.5567,1.66253,7.52813,67.83122,51.18399,34.93090875,83.49783,31.00446,36.40446,25.6
175,849.999,712.4677,35.68817191,2113.799,2058.878418,189.66666,1569.781,1.012286,1.006860231,2.439285,2.42471,2.422295,2.5599135,1.1165912,1.1070573,23.79585,25.55178,150.7322,27.36222,35.75143,595.3547,444.1353,627.4612,111.9662,88.8521,55.7,77875.6,233.2563,-4.605136819,0.859890839,876.025,2869.906,0.929773,1180.682,-3.919576,11.38801,158.2595,104.0317,7.824793269,59.25815,23.12293,27.41083,100.0
176,850.0,649.8197,32.3132022,1910.067,1860.439769,190.0471093,1277.566,1.012252,1.007936772,2.247745,2.234534,2.232144,2.39204,1.1047203,1.09579373,23.6587,25.30272,138.7297,26.25735,35.1389,582.4198,440.2627,629.1999,110.7766,87.5951,56.7,73469.34,211.1974,-4.570461413,0.859251586,878.321,2666.509,0.7302908,1074.377,-3.84626,10.93182,146.1459,94.43053,8.881392106,62.97292,22.25283,26.4327,100.0
177,850.0,573.3492,28.8100377,1697.987,1653.870017,190.6072155,1024.612,1.012277,1.009077343,2.032779,2.02101,2.018706,2.164134,1.09149782,1.08301366,23.46894,25.73778,124.0447,25.0137,35.56934,566.80015,434.0363,613.0142,110.4828,88.3439,54.1,67909.53,188.3009,-4.614986537,0.853221916,891.472,2464.064,0.4841379,970.055,-3.852716,10.47873,134.4954,85.57911,10.35071356,65.1287,22.10566,28.78679,97.344
178,850.002,502.8243,25.29221411,1486.042,1447.431758,191.1985591,808.5316,1.012349,1.01005414,1.844368,1.8340171,1.8317051,1.9769535,1.08009767,1.07086717,23.30374,25.94505,109.9469,24.00584,36.32111,545.07165,421.4773,606.3447,110.4408,89.4837,53.8,62268.23,165.3082,-4.438149416,0.843902631,928.816,2215.115,0.3872789,852.432,-3.633976,10.21692,123.049,78.61742,12.18143863,70.30568,21.56582,29.91203,91.8861
179,850.001,447.0867,21.75019959,1273.036,1239.960065,191.9340033,622.3793,1.012314,1.01070329,1.6816654,1.6719379,1.6693763,1.83009295,1.0710751,1.05982316,23.35521,25.61082,96.6136,23.24691,37.22653,513.63865,402.5554,600.7679,109.8113,87.5629,56.2,56664.32,142.158,-4.102774873,0.846890728,981.481,1870.437,0.2943098,721.2126,-3.072275,10.04074,111.7708,73.20041,14.37563641,77.51388,20.77468,28.84177,83.13101
180,849.999,391.3082,18.22385446,1060.984,1033.417586,192.9575544,457.7303,1.012328,1.011321861,1.4939977,1.4857748,1.4835276,1.60603435,1.06707777,1.05015592,23.31812,25.50762,80.56611,23.19728,38.16268,481.4702,386.1757,596.1128,108.937,86.5106,56.3,49169.43,119.1103,-3.870005612,0.85222424,994.089,1573.183,0.3008363,596.7677,-2.360259,10.3333,98.7749,67.2544,15.94459944,75.5257,22.03861,33.91519,66.06962
181,849.999,334.3889,14.71452819,848.99,826.9315996,194.703675,352.5227,1.012318,1.011856065,1.3038643,1.2965198,1.2942159,1.3770735,1.06630097,1.04031938,23.34433,25.77348,63.52028,23.15883,39.65047,443.353,364.9625,613.9182,108.7889,86.2427,54.3,36619.18,96.1735,-3.730134009,0.857428011,997.866,1301.184,0.3760839,491.6414,-1.566859,10.37157,86.9645,61.59856,17.77304122,73.17767,25.77962,44.00573,53.39554
182,850.0,281.9638,11.2155579,636.9924,620.4421068,197.7955435,527.7971,1.012306,1.01225986,1.1400926,1.1328138,1.1307914,1.1957286,1.07107649,1.03471544,23.32294,26.01528,48.24617,23.21303,41.44942,393.1705,337.1651,374.4559,108.0338,86.3564,54.1,23266.15,73.3043,-3.675631972,0.862117369,996.818,1041.386,0.4313568,392.4572,-0.6705866,10.66112,74.37761,55.34855,20.62180006,76.15519,37.24968,51.87673,44.0956
183,850.0,248.4821,7.7838903,424.0047,412.9882387,206.2319306,350.3177,1.012245,1.012416395,1.08947149,1.08347339,1.08115359,1.16633205,1.07717304,1.02975953,23.31023,25.9534,42.42498,23.26305,44.33612,322.0998,287.2542,341.2938,107.2268,86.547,55.8,18427.17,50.8751,-3.675347212,0.882193493,986.204,777.5711,0.223312,279.2369,0.9228089,9.101527,69.72134,53.01293,27.84482694,83.17294,35.33439,41.35032,36.16815
184,849.999,211.9597,4.599006289,211.9938,206.4857915,243.7088084,115.3904,1.012269,1.012701815,1.06645703,1.06145705,1.05880417,1.1611222,1.07452329,1.02496284,23.35021,25.88247,39.93619,23.26533,49.81075,244.0541,231.3134,338.78,106.2564,86.0896,57.0,15221.96,30.0589,-3.679803678,0.8978266,875.956,609.3285,0.3502451,173.4329,1.523288,8.063663,64.92602,49.90028,37.18052446,85.0045,25.86772,44.67405,30.03481
185,750.0009,538.6633,27.55059006,1815.922,1768.740838,193.1615702,393.6249,1.012281,1.009365109,1.998837,1.989164,1.98646,2.1491805,1.08522403,1.07697898,23.28255,25.89118,121.3292,24.60227,31.22381,580.5311,446.1294,540.6107,111.6153,88.3555,53.3,66813.25,204.0782,-4.613677328,0.848094741,724.0696,2726.045,0.2963051,1529.506,-3.961493,9.660006,140.2651,84.51774,3.781965693,60.13196,20.80316,13.0076,100.0
186,749.9986,492.6355,24.74094482,1632.962,1590.534492,192.8983649,373.7027,1.012291,1.010012587,1.8394916,1.830216,1.8277891,1.9584605,1.07813416,1.07025081,23.3315,25.77175,109.5955,23.92273,31.10732,562.07675,437.693,551.0787,110.5448,88.0364,55.5,62056.18,183.2666,-4.613817703,0.848097806,733.8944,2571.026,0.2456206,1579.938,-3.922975,9.373775,130.0645,77.84581,4.40128474,60.73116,21.41429,15.77764,100.0
187,750.0004,453.9293,21.96957422,1452.084,1414.356052,192.6270183,361.4937,1.012276,1.010367118,1.7304269,1.7219707,1.7193011,1.868992,1.07158889,1.06384185,23.20221,25.45928,100.3044,23.43783,31.35209,534.2916,418.8188,562.2941,110.3136,88.5417,56.6,58398.36,162.7375,-4.254775419,0.836779087,735.4968,2401.878,0.09691447,1482.14,-3.537364,9.417652,119.4878,72.9911,5.011280834,63.89793,20.78726,14.7242,100.0
188,749.9995,428.0232,19.21546869,1269.969,1236.972752,192.6396521,338.3577,1.012278,1.010773466,1.6265012,1.6180739,1.6150014,1.77928075,1.06472339,1.05719142,23.39008,25.68114,91.5743,23.29493,32.6285,503.4141,397.6339,595.9739,110.0428,90.9958,55.1,54580.82,142.3369,-3.83852903,0.853686102,747.2722,2150.441,0.1682802,1330.627,-3.001557,9.370897,110.004,69.32206,6.144450134,69.78174,20.0,14.36456,97.8715
189,750.0008,371.0286,16.58282369,1088.995,1060.700806,193.8740434,315.4416,1.012292,1.011392024,1.4720368,1.4650889,1.462744,1.594159,1.05623908,1.04749215,23.21682,26.01596,79.14953,23.28722,34.65392,477.39135,381.9502,607.3826,109.9457,89.1603,53.6,48084.19,122.8356,-3.568347917,0.850812698,817.6519,1815.703,0.0,1066.905,-2.518206,9.286001,100.6921,65.06942,9.273259118,77.31413,20.41266,20.92722,85.0196
