Log Point,Engine Speed,MF_IA,MF_FUEL,Torque,BMEP,BSFC,IMEP,p_0,p_11,p_21,p_2_1,P_IM,p_31,p_41,p_4_1,T_0,T_11,T_21,T_2_1,T_IM,T_31,T_41,T_4_1,T_OIL,T_Water,Humidity rel,Turbine Speed,q_MI,phi_MI,Delivery Ratio,Rail Pressure,Duration_Main,FMEP,NOx_EO,SOC,MFB50,PFP,P_SOI,EGR_Rate,EGR_Temperature,ECU_VTG_Pos,ECU_EGR_Pos,ECU_Exh_Flap_Pos
85,1600.0,349.8557,4.7068128,-0.01081848,-0.010537395,1000.0,-98.07619,1.013718,1.013014162,1.06694195,1.05752155,1.05038179,1.4291338,1.3197635,1.03145481,23.93498,25.94796,38.02538,23.40414,54.80118,212.6001,211.9823,76.97228,106.9024,83.07605,53.2,19538.18,16.3431,-6.986612976,0.894032634,1161.93,357.2291,0.2405971,152.7405,2.67483,5.539897,72.42437,53.50326,43.37667027,87.9321,38.27595,46.25063,21.2
86,1500.0,1572.836,74.138598,2422.221,2359.287019,194.8444959,2296.338,1.013589,0.98619152,3.828238,3.791909,3.764683,4.157907,1.3721557,1.2563532,24.17403,25.44198,213.3107,43.01371,68.14789,615.8063,431.0365,408.2183,112.0023,89.7631,55.0,103782.6,274.5874,-5.077876848,0.897502088,1880.631,2311.907,1.293028,316.4631,-3.785685,18.19798,218.562,189.4518,21.46202563,137.9744,31.99688,65.71375,71.3475
87,1499.999,1357.282,66.61818959,2208.918,2151.526043,191.9866628,2041.525,1.013525,0.9933488,3.555508,3.527945,3.502748,3.9111175,1.3411314,1.2036799,24.31356,25.42485,201.1557,38.85491,69.89957,594.7827,417.1495,409.7688,112.0602,89.2871,55.0,98583.1,246.7342,-5.801300808,0.876414266,2146.719,2023.382,1.210012,272.1063,-4.624505,17.9652,192.1069,159.0913,25.02172261,144.7531,28.3375,81.33375,64.9
88,1500.0,1202.334,59.085396,1963.938,1912.911097,191.51814,1775.019,1.013462,0.99772437,3.224961,3.200213,3.177833,3.6100555,1.3157214,1.1663633,24.31382,25.36358,185.1116,35.44651,68.011,569.1597,403.8339,418.1127,111.1266,88.5099,55.1,93224.6,218.8348,-7.000392611,0.874592554,2173.437,1772.959,1.00964,254.512,-5.811692,16.41547,174.9579,134.2789,27.04178616,142.2667,26.63165,67.26266,61.08418
89,1500.0,1039.378,51.786756,1717.936,1673.300704,191.8974769,1527.652,1.013393,1.00167125,2.823667,2.802099,2.782671,3.192622,1.2964339,1.1349973,24.08382,25.45166,164.4544,31.88973,65.07219,550.82465,401.0894,416.5173,110.1123,88.2751,55.7,86334.3,191.8028,-8.233684265,0.870548722,2156.253,1564.501,0.9583495,243.5538,-6.71459,14.68766,160.4996,114.3935,28.26234017,136.1994,26.22532,65.36899,56.69747
90,1500.0,889.084,44.581212,1473.003,1434.731536,192.6663092,1277.504,1.013378,1.0048857,2.389274,2.370306,2.353607,2.678361,1.287259,1.1128695,24.14297,25.7081,139.1487,28.73457,60.61461,536.932,407.0965,409.2788,109.4774,87.7506,54.0,77694.69,165.1156,-8.89244822,0.87005165,2130.854,1357.784,0.8362973,240.3681,-7.04509,13.08839,142.4063,94.67508,28.36411505,126.3629,27.5,74.96879,51.6
91,1499.999,762.3926,37.60044493,1227.059,1195.177637,195.0677014,1046.225,1.01339,1.007219297,2.034318,2.017214,2.003371,2.305024,1.2839547,1.09724071,23.95408,25.68327,115.4999,26.36795,56.70618,515.30405,405.2598,403.8378,109.1244,87.6072,54.0,69046.2,139.261,-8.928974279,0.869346422,2053.618,1168.881,0.9007534,234.1204,-6.316578,12.06248,122.3121,79.60775,28.6201115,118.5232,28.64204,64.80446,46.80318
92,1500.0,645.1043,30.472443,981.981,956.4672365,197.5430371,799.9436,1.013414,1.009206182,1.7123936,1.6976074,1.6859105,1.9440695,1.2554592,1.08105532,23.75336,25.19782,92.0123,24.54505,54.00792,485.8954,395.3287,385.8938,108.7134,87.2694,58.0,59258.94,112.8609,-9.122530882,0.87314837,1925.924,1007.95,0.8549619,230.0146,-5.492164,11.62914,104.4518,68.84008,29.12528199,110.5817,30.74331,65.41019,43.30828
93,1500.0,542.2458,23.4225,735.9955,716.872915,202.5888908,573.0509,1.013366,1.010476231,1.4877751,1.4751109,1.4650814,1.7208047,1.2264797,1.06590797,23.88974,25.52961,74.57547,23.54972,53.3233,436.2831,364.4723,342.9565,108.0893,86.6596,54.5,50547.15,86.75,-9.219366479,0.87012432,1753.415,852.3671,0.71049,217.8138,-4.313787,10.29467,93.53597,63.96394,31.35208745,104.8354,30.97736,59.46038,39.9
94,1500.0,454.3272,16.774074,490.9814,478.2247547,217.4858733,353.3128,1.013346,1.011426733,1.2682307,1.2568469,1.2487176,1.5446469,1.2491717,1.05065101,23.84259,26.0032,56.68557,23.44736,51.43119,380.395,328.3335,261.2606,107.3503,85.6102,53.1,36251.66,62.1262,-8.683427487,0.871475613,1460.816,709.3794,0.6900961,196.9658,-1.696744,9.102641,81.86837,60.29783,33.01167059,97.5107,34.55886,46.04304,33.73165
