sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,fault_type,severity,repetition
0,21.29790622241979,21.44376376,1435.291,1402.6092980533695,1402.1303922691072,33.16060773089271,-0.4789057842622242,linear_drift,0.05,1
1,21.852398348092386,21.44734967367224,1435.291,1400.7886894600936,1402.1186183503369,33.172381649663066,1.329928890243309,linear_drift,0.05,1
2,21.210494207496144,21.450935587344482,1435.291,1402.896304952399,1402.1068444315665,33.184155568433425,-0.7894605208325629,linear_drift,0.05,1
3,22.15733066674467,21.45452150101672,1435.291,1399.7874806529667,1402.0950705127962,33.195929487203784,2.307589859829477,linear_drift,0.05,1
4,21.57406682057052,21.458107414688964,1435.291,1401.7025577502363,1402.0832965940263,33.20770340597369,0.3807388437899135,linear_drift,0.05,1
5,21.75702532104101,21.461693328361203,1435.291,1401.1018353905356,1402.0715226752554,33.2194773247445,0.9696872847198392,linear_drift,0.05,1
6,21.18220260691795,21.465279242033443,1435.291,1402.9891970400326,1402.0597487564855,33.23125124351441,-0.9294482835471172,linear_drift,0.05,1
7,21.334513909630974,21.468865155705686,1435.291,1402.4891010896422,1402.0479748377152,33.243025162284766,-0.4411262519270167,linear_drift,0.05,1
8,21.39496179036623,21.472451069377925,1435.291,1402.2906277010825,1402.0362009189448,33.254799081055125,-0.25442678213767067,linear_drift,0.05,1
9,21.5885903215323,21.476036983050168,1435.291,1401.6548715714225,1402.0244270001745,33.266572999825485,0.36955542875193714,linear_drift,0.05,1
10,21.572620559323447,21.479622896722407,1435.291,1401.7073063761095,1402.0126530814046,33.27834691859539,0.3053467052950509,linear_drift,0.05,1
11,21.48008069920985,21.483208810394647,1435.291,1402.0111499416766,1402.0008791626342,33.29012083736575,-0.010270779042457434,linear_drift,0.05,1
12,21.4589859841545,21.48679472406689,1435.291,1402.0804119162376,1401.9891052438636,33.301894756136335,-0.09130667237400303,linear_drift,0.05,1
13,22.26876023852906,21.49038063773913,1435.291,1399.4205674399016,1401.9773313250935,33.31366867490647,2.5567638851919128,linear_drift,0.05,1
14,21.55077022689147,21.493966551411372,1435.291,1401.7790493299763,1401.9655574063231,33.325442593676826,0.18650807634685407,linear_drift,0.05,1
15,21.448131494445402,21.49755246508361,1435.291,1402.1160513353116,1401.953783487553,33.33721651244696,-0.16226784775858505,linear_drift,0.05,1
16,21.227088524361715,21.50113837875585,1435.291,1402.841819497176,1401.9420095687829,33.34899043121709,-0.8998099283930969,linear_drift,0.05,1
17,20.861448694588347,21.504724292428094,1435.291,1404.1174142223429,1401.9302356500125,33.36076434998745,-2.1871785723303674,linear_drift,0.05,1
18,20.870632765552703,21.508310206100333,1435.291,1404.0831310781105,1401.9184617312421,33.37253826875781,-2.1646693468683225,linear_drift,0.05,1
19,21.08933307306271,21.511896119772576,1435.291,1403.2941230499111,1401.9066878124718,33.38431218752817,-1.3874352374393766,linear_drift,0.05,1
20,21.456746338538373,21.515482033444815,1435.291,1402.0877655248205,1401.8949138937016,33.3960861062983,-0.19285163111885595,linear_drift,0.05,1
21,20.668035243870552,21.519067947117055,1435.291,1404.8413479335718,1401.8831399749313,33.40786002506866,-2.9582079586405143,linear_drift,0.05,1
22,21.454757251327965,21.522653860789298,1435.291,1402.0942964548385,1401.8713660561612,33.41963394383879,-0.22293039867736297,linear_drift,0.05,1
23,21.40588026778243,21.526239774461537,1435.291,1402.2547781860235,1401.8595921373908,33.43140786260915,-0.395186048632695,linear_drift,0.05,1
24,21.863762728569252,21.52982568813378,1435.291,1400.7513758756522,1401.8478182186204,33.44318178137951,1.0964423429682029,linear_drift,0.05,1
25,20.822746235728676,21.53341160180602,1435.291,1404.2621350996847,1401.83604429985,33.45495570014987,-2.426090799834583,linear_drift,0.05,1
26,21.68187791419116,21.53699751547826,1435.291,1401.3485729154504,1401.8242703810797,33.466729618920226,0.4756974656293096,linear_drift,0.05,1
27,21.544767311284,21.5405834291505,1435.291,1401.7987591855967,1401.8124964623094,33.478503537690585,0.01373727671261804,linear_drift,0.05,1
28,21.730362994062524,21.54416934282274,1435.291,1401.1893779531192,1401.8007225435395,33.49027745646049,0.6113445904202308,linear_drift,0.05,1
29,22.399997212206827,21.547755256494984,1435.291,1398.9479867829796,1401.788948624769,33.50205137523085,2.8409618417895217,linear_drift,0.05,1
30,21.828580080643473,21.551341170167223,1435.291,1400.86689389328,1401.7771747059987,33.51382529400121,0.9102808127188382,linear_drift,0.05,1
31,21.684799989708004,21.554927083839463,1435.291,1401.3389786298876,1401.7654007872286,33.52559921277134,0.4264221573409941,linear_drift,0.05,1
32,21.485447938385608,21.558512997511706,1435.291,1401.9935272536113,1401.753626868458,33.537373131541926,-0.23990038515330525,linear_drift,0.05,1
33,20.952615928298737,21.562098911183945,1435.291,1403.7770967928855,1401.741852949688,33.54914705031183,-2.0352438431973496,linear_drift,0.05,1
34,21.494239535567207,21.565684824856188,1435.291,1401.9646610954887,1401.7300790309178,33.56092096908219,-0.2345820645709864,linear_drift,0.05,1
35,21.460041870230977,21.569270738528427,1435.291,1402.0769450405594,1401.7183051121474,33.57269488785255,-0.35863992841200343,linear_drift,0.05,1
36,21.96157069403923,21.57285665220067,1435.291,1400.4302351160616,1401.706531193377,33.58446880662291,1.2762960773154646,linear_drift,0.05,1
37,21.58561048754268,21.57644256587291,1435.291,1401.6646555000248,1401.6947572746067,33.59624272539327,0.030101774581908103,linear_drift,0.05,1
38,21.096932609250192,21.58002847954515,1435.291,1403.2691708815264,1401.6829833558365,33.6080166441634,-1.5861875256898657,linear_drift,0.05,1
39,21.910985493012742,21.583614393217392,1435.291,1400.5963255750917,1401.6712094370664,33.61979056293353,1.0748838619747403,linear_drift,0.05,1
40,21.721909063611257,21.58720030688963,1435.291,1401.217135422908,1401.659435518296,33.63156448170389,0.44230009538796367,linear_drift,0.05,1
41,20.793615265049603,21.590786220561874,1435.291,1404.371196724061,1401.6476615995257,33.64333840047425,-2.723535124535374,linear_drift,0.05,1
42,21.625421536020053,21.594372134234114,1435.291,1401.5339406826101,1401.6358876807553,33.65511231924461,0.10194699814519481,linear_drift,0.05,1
43,21.74013507746389,21.597958047906353,1435.291,1401.157292485732,1401.6241137619852,33.66688623801474,0.46682127625331304,linear_drift,0.05,1
44,22.07421540205258,21.601543961578596,1435.291,1400.0603796863793,1401.612339843215,33.67866015678487,1.5519601568357757,linear_drift,0.05,1
45,21.752237971958905,21.605129875250835,1435.291,1401.117554078817,1401.6005659244447,33.69043407555523,0.48301184562774324,linear_drift,0.05,1
46,21.530702626572182,21.608715788923078,1435.291,1401.8449388961146,1401.5887920056743,33.70220799432559,-0.2561468904402773,linear_drift,0.05,1
47,21.857125012999685,21.612301702595317,1435.291,1400.7731700210443,1401.577018086904,33.71398191309595,0.8038480658597109,linear_drift,0.05,1
48,21.50122102618362,21.615887616267557,1435.291,1401.941738205836,1401.5652441681339,33.72575583186608,-0.37649403770205936,linear_drift,0.05,1
49,21.279151843371523,21.6194735299398,1435.291,1402.6708758144882,1401.5534702493637,33.73752975063621,-1.1174055651244998,linear_drift,0.05,1
50,20.831665385764047,21.62305944361204,1435.291,1404.2287432501093,1401.5416963305934,33.74930366940657,-2.6870469195159785,linear_drift,0.05,1
51,21.352418917904764,21.626645357284282,1435.291,1402.4303121359012,1401.529922411823,33.76107758817693,-0.9003897240781953,linear_drift,0.05,1
52,22.228007750746748,21.63023127095652,1435.291,1399.5554208986,1401.5181484930526,33.77285150694729,1.9627275944526446,linear_drift,0.05,1
53,20.839366260950907,21.63381718462876,1435.291,1404.1999124237611,1401.5063745742823,33.78462542571765,-2.693537849478844,linear_drift,0.05,1
54,21.139775983112628,21.637403098301004,1435.291,1403.128499786289,1401.494600655512,33.79639934448801,-1.6338991307770812,linear_drift,0.05,1
55,21.50966726970409,21.640989011973243,1435.291,1401.9140059751649,1401.4828267367418,33.80817326325814,-0.4311792384230557,linear_drift,0.05,1
56,21.597143625040133,21.644574925645486,1435.291,1401.6267878220847,1401.4710528179714,33.8199471820285,-0.15573500411323948,linear_drift,0.05,1
57,21.288056513893032,21.648160839317725,1435.291,1402.6416383935743,1401.4592788992013,33.83172110079863,-1.1823594943730313,linear_drift,0.05,1
58,21.210417833031887,21.651746752989965,1435.291,1402.8965557188203,1401.447504980431,33.84349501956899,-1.44905073838936,linear_drift,0.05,1
59,21.646190621851463,21.655332666662208,1435.291,1401.4657478726704,1401.4357310616608,33.85526893833912,-0.030016811009545563,linear_drift,0.05,1
60,20.996777672371895,21.658918580334447,1435.291,1403.6122457755664,1401.4239571428902,33.86704285710971,-2.1882886326761763,linear_drift,0.05,1
61,21.809212671330734,21.66250449400669,1435.291,1400.930484465971,1401.4121832241203,33.87881677587961,0.4816987581493777,linear_drift,0.05,1
62,20.75430658771381,21.66609040767893,1435.291,1404.5183620296582,1401.40040930535,33.89059069464997,-3.117952724308225,linear_drift,0.05,1
63,21.293956264136913,21.66967632135117,1435.291,1402.6222672690897,1401.3886353865796,33.90236461342033,-1.2336318825100534,linear_drift,0.05,1
64,22.319697209419896,21.67326223502341,1435.291,1399.243703317194,1401.3768614678092,33.91413853219069,2.133158150615145,linear_drift,0.05,1
65,20.163339123006033,21.67684814869565,1435.291,1406.4936067017704,1401.3650875490391,33.92591245096082,-5.1285191527313145,linear_drift,0.05,1
66,20.819818333318697,21.680434062367894,1435.291,1404.2730966909194,1401.353313630269,33.937686369730955,-2.9197830606503885,linear_drift,0.05,1
67,21.754090004953937,21.684019976040133,1435.291,1401.1114731499279,1401.3415397114986,33.949460288501314,0.23006656157076577,linear_drift,0.05,1
68,20.515620996149874,21.687605889712373,1435.291,1405.3853199118953,1401.3297657927283,33.96123420727167,-4.055554119167027,linear_drift,0.05,1
69,21.182177066585552,21.691191803384616,1435.291,1402.9892808986604,1401.317991873958,33.97300812604203,-1.6712890247024461,linear_drift,0.05,1
70,21.478841360654553,21.694777717056855,1435.291,1402.015219161634,1401.3062179551878,33.984782044812164,-0.7090012064461462,linear_drift,0.05,1
71,22.16911013247075,21.698363630729098,1435.291,1399.7488041857418,1401.2944440364176,33.996555963582296,1.5456398506757978,linear_drift,0.05,1
72,21.81622217192701,21.701949544401337,1435.291,1400.9074696088983,1401.2826701176473,34.008329882352655,0.37520050874900335,linear_drift,0.05,1
73,20.8630532784778,21.705535458073577,1435.291,1404.1114244841178,1401.270896198877,34.020103801123014,-2.8405282852409073,linear_drift,0.05,1
74,21.113677547633607,21.70912137174582,1435.291,1403.2141908785593,1401.2591222801066,34.03187771989337,-1.9550685984527263,linear_drift,0.05,1
75,21.36581709087955,21.71270728541806,1435.291,1402.386320836976,1401.2473483613362,34.04365163866373,-1.1389724756397754,linear_drift,0.05,1
76,21.744529844448163,21.716293199090302,1435.291,1401.1428627938271,1401.235574442566,34.055425557433864,0.09271164873894122,linear_drift,0.05,1
77,21.538217687032287,21.71987911276254,1435.291,1401.8202640936797,1401.223800523796,34.067199476203996,-0.596463569883781,linear_drift,0.05,1
78,21.27473656481646,21.72346502643478,1435.291,1402.685372853683,1401.2120266050256,34.078973394974355,-1.4733462486574354,linear_drift,0.05,1
79,21.19447740202438,21.727050940107024,1435.291,1402.9488942180146,1401.2002526862552,34.090747313744714,-1.7486415317594037,linear_drift,0.05,1
80,21.149913107534807,21.730636853779263,1435.291,1403.0952157503584,1401.1884787674849,34.10252123251507,-1.9067369828735536,linear_drift,0.05,1
81,20.474786164062202,21.734222767451506,1435.291,1405.5137872229316,1401.1767048487145,34.11429515128543,-4.337082374217061,linear_drift,0.05,1
82,21.55303482923574,21.737808681123745,1435.291,1401.7716137789603,1401.1649309299444,34.126069070055564,-0.6066828490158969,linear_drift,0.05,1
83,21.44099115403127,21.741394594795985,1435.291,1402.1394957892812,1401.1531570111742,34.137842988825696,-0.9863387781069832,linear_drift,0.05,1
84,20.754503529654684,21.744980508468227,1435.291,1404.5176247110076,1401.1413830924039,34.149616907596055,-3.3762416186036717,linear_drift,0.05,1
85,21.111739161749064,21.748566422140467,1435.291,1403.2205553368358,1401.1296091736335,34.161390826366414,-2.0909461632022612,linear_drift,0.05,1
86,21.841798866823204,21.75215233581271,1435.291,1400.8234915894466,1401.1178352548634,34.173164745136546,0.2943436654168181,linear_drift,0.05,1
87,21.911849949664617,21.75573824948495,1435.291,1400.5934872350392,1401.106061336093,34.184938663906905,0.512574101053815,linear_drift,0.05,1
88,21.36877143262799,21.75932416315719,1435.291,1402.3766206090995,1401.094287417323,34.19671258267704,-1.2823331917766154,linear_drift,0.05,1
89,20.982771595811602,21.76291007682943,1435.291,1403.6645289454923,1401.0825134985525,34.208486501447396,-2.5820154469397494,linear_drift,0.05,1
90,21.666149932694218,21.76649599050167,1435.291,1401.4002138620795,1401.0707395797822,34.220260420217755,-0.3294742822972694,linear_drift,0.05,1
91,21.145513708806565,21.770081904173914,1435.291,1403.1096606500405,1401.0589656610118,34.232034338988115,-2.0506949890286705,linear_drift,0.05,1
92,21.546265649975584,21.773667817846153,1435.291,1401.793839569661,1401.0471917422415,34.243808257758474,-0.7466478274195651,linear_drift,0.05,1
93,21.66985023700032,21.777253731518392,1435.291,1401.3880643553412,1401.035417823471,34.25558217652883,-0.35264653187005024,linear_drift,0.05,1
94,21.864709478337137,21.780839645190635,1435.291,1400.7482673359934,1401.0236439047012,34.26735609529874,0.2753765687077703,linear_drift,0.05,1
95,21.523978808203776,21.784425558862875,1435.291,1401.8670157497513,1401.0118699859308,34.279130014069096,-0.8551457638204738,linear_drift,0.05,1
96,21.535255043495567,21.788011472535118,1435.291,1401.8299915794853,1401.0000960671605,34.290903932839456,-0.8298955123248106,linear_drift,0.05,1
97,21.766207860356957,21.791597386207357,1435.291,1401.0716856206604,1400.9883221483901,34.302677851609815,-0.08336347227032093,linear_drift,0.05,1
98,21.793957327530737,21.795183299879596,1435.291,1400.9805735632362,1400.9765482296198,34.314451770380174,-0.004025333616482385,linear_drift,0.05,1
99,21.94731942176763,21.79876921355184,1435.291,1400.4770274645216,1400.9647743108496,34.326225689150306,0.48774684632803655,linear_drift,0.05,1
100,21.95034562390235,21.80235512722408,1435.291,1400.4670912916592,1400.9530003920795,34.33799960792044,0.48590910042025826,linear_drift,0.05,1
101,21.582400960212105,21.80594104089632,1435.291,1401.6751935992475,1400.9412264733091,34.3497735266908,-0.7339671259383067,linear_drift,0.05,1
102,21.03174838633787,21.80952695456856,1435.291,1403.483195483294,1400.9294525545388,34.361547445461156,-2.5537429287551277,linear_drift,0.05,1
103,20.739032463456187,21.8131128682408,1435.291,1404.5755458708973,1400.9176786357684,34.373321364231515,-3.6578672351288333,linear_drift,0.05,1
104,21.79187352296859,21.816698781913043,1435.291,1400.9874154863528,1400.9059047169983,34.38509528300165,-0.08151076935450874,linear_drift,0.05,1
