target,representative_id,sensor,fault_type,severity,random_seed,repetition,healthy_noise,n_samples,mae,rmse,r2,residual_mean,residual_standard_deviation,residual_rms,residual_maximum,residual_minimum,residual_skewness,residual_kurtosis
MF_IA,MF_IA_High,P_IM,dropout,0.0125,42,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.663387312359,6.734236637771744,371.72439173612236,-351.56100360267556,-388.24384049463765,0.11400340793552156,2.841803307546805
MF_IA,MF_IA_High,P_IM,dropout,0.02,43,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-372.2536360574028,6.645811775688539,372.3129548808571,-356.8357083390563,-391.33982985030434,0.04290958799765182,2.5070010631119266
MF_IA,MF_IA_High,P_IM,dropout,0.0275,44,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-372.36872145227164,6.703824792015406,372.42906167865243,-347.4302341338846,-391.380557567036,0.15715383910173614,3.2728993070012606
MF_IA,MF_IA_High,P_IM,dropout,0.035,45,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.2044618042281,7.207985570633569,371.27443693224166,-350.0451941365902,-391.2992176826731,0.07816993148681398,3.061096429493764
MF_IA,MF_IA_High,P_IM,dropout,0.0425,46,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.8436284828525,6.8624331929543105,371.9069467388602,-347.7144250052381,-392.4939978279324,0.14191348502960052,3.1697519463692982
MF_IA,MF_IA_High,P_IM,dropout,0.05,47,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.7869055703235,6.598775086065135,371.8454611612102,-354.409902860848,-390.14721268626977,-0.1566643581664168,2.7537064890212233
MF_IA,MF_IA_High,P_IM,dropout,0.0625,48,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-372.42498775601246,7.116611107135673,372.49297665689784,-351.30972298381926,-392.98678515100937,0.005419879206834341,2.9424138609861124
MF_IA,MF_IA_High,P_IM,dropout,0.075,49,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.91366937087423,7.164759310225459,371.98267599564554,-351.49563054064106,-394.06258856341924,-0.23878957752062632,3.0661565648832276
MF_IA,MF_IA_High,P_IM,dropout,0.0875,50,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.90785305949686,6.718673072933681,371.9685359478477,-354.1689629161135,-395.7823683143722,-0.14377312255429195,3.08467053451533
MF_IA,MF_IA_High,P_IM,dropout,0.1,51,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.4280736093214,6.835185840464092,371.49096036189786,-353.6507250400332,-387.9149371934602,0.08076593532515086,2.656186606786335
MF_IA,MF_IA_High,P_IM,dropout,0.125,52,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.98801195655705,6.921405467366603,372.0523980476881,-353.4388430750123,-393.2743904911256,-0.028225127521740254,3.0262800173878652
MF_IA,MF_IA_High,P_IM,dropout,0.15,53,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.8917528792906,7.0354012939054735,371.95829434359666,-350.6494374673523,-392.21591091840696,-0.009473763183742753,3.0724616281224115
MF_IA,MF_IA_High,P_IM,dropout,0.175,54,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.8921387926869,7.165618320938422,371.9611659591905,-352.70654671498255,-390.26060205830413,0.04824302559672831,2.5912299583738068
MF_IA,MF_IA_High,P_IM,dropout,0.2,55,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-372.654201512949,6.778259371460731,372.7158417687131,-355.3228234185542,-390.5610155688853,-0.08921043090035627,2.6861778626679302
MF_IA,MF_IA_High,P_IM,dropout,0.225,56,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-372.2761497073159,6.596500208066637,372.3345880466907,-348.50730360598277,-388.2663244124012,0.24660452129899568,3.3447076437736083
MF_IA,MF_IA_High,P_IM,dropout,0.25,57,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-372.03887023909243,7.372563381203375,372.1119128160103,-348.16612301684404,-392.63768901644494,-0.026129435284569572,2.984199124964326
MF_IA,MF_IA_High,P_IM,dropout,0.275,58,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-372.68040272484444,6.632705582082842,372.73942018317683,-352.8337228874759,-393.1122203562095,-0.02085838389005976,3.112381913440732
MF_IA,MF_IA_High,P_IM,dropout,0.3,59,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-372.0196666556985,6.723511978404311,372.0804187160899,-351.94852165152247,-387.97229586038634,0.10621724419341332,2.934150141808214
MF_IA,MF_IA_High,P_IM,dropout,0.35,60,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.9790466815965,6.846657585723189,372.04205123916506,-350.5654037464967,-387.7444042046229,0.015527349285160573,2.9532474284024506
MF_IA,MF_IA_High,P_IM,dropout,0.4,61,1,0.02,300,405.24496953903787,405.2449695390378,-3.176544185770174e+30,-371.98262808990376,6.637366237284309,372.0418393557901,-353.38268490115684,-392.1061291907927,-0.13388479261463906,3.112577463393412
MF_IA,MF_IA_High,EGR_Rate,dropout,0.0125,62,1,0.02,300,31.287000282454756,31.287000282454756,-1.893422300898662e+28,1.862870661058054,1.4923033422909437,2.3868926170323608,6.2141853462728704,-2.6398847414322972,0.04054657472681606,3.078244586411158
MF_IA,MF_IA_High,EGR_Rate,dropout,0.02,63,1,0.02,300,31.287000282454756,31.287000282454756,-1.893422300898662e+28,1.8408448370917116,1.4141649700766765,2.3213298509344114,6.103597356041064,-2.2403106494571148,-0.03270637418533462,2.970056357610248
MF_IA,MF_IA_High,EGR_Rate,dropout,0.0275,64,1,0.02,300,31.287000282454756,31.287000282454756,-1.893422300898662e+28,2.005480510784752,1.4360971665600513,2.466642890841574,5.744650368121938,-1.9528153750397905,0.06330727185754152,2.7046458712260253
MF_IA,MF_IA_High,EGR_Rate,dropout,0.035,65,1,0.02,300,31.287000282454756,31.287000282454756,-1.893422300898662e+28,1.8314213477647339,1.5278852357403718,2.385065501541164,7.325513025823284,-3.111048969678677,-0.0884444850454515,3.289594171456089
MF_IA,MF_IA_High,EGR_Rate,dropout,0.0425,66,1,0.02,300,31.287000282454756,31.287000282454756,-1.893422300898662e+28,2.0335411659063896,1.4545483618258919,2.500200114056134,5.713987774287261,-1.9204464456627193,-0.10175517945807876,2.9610496746537835
MF_IA,MF_IA_High,EGR_Rate,dropout,0.05,67,1,0.02,300,31.287000282454756,31.287000282454756,-1.893422300898662e+28,1.8885793696799593,1.3739578222409108,2.3354854169696155,5.301604590895977,-2.4896069842252473,-0.28641885454084337,2.8792463782131397
MF_IA,MF_IA_High,EGR_Rate,dropout,0.0625,68,1,0.02,300,31.287000282454756,31.287000282454756,-1.893422300898662e+28,1.9353707267136966,1.4215601639233901,2.4013523584584995,5.6840148673343265,-2.2567854309702398,-0.07089247664961623,3.0298358473193363
MF_IA,MF_IA_High,EGR_Rate,dropout,0.075,69,1,0.02,300,31.287000282454756,31.287000282454756,-1.893422300898662e+28,1.968173821343161,1.3706964100724865,2.3984405015772525,6.259576280752526,-3.6201512188138167,-0.3932541527806634,3.8643666857023997
