sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,severity
0,2.847858,2.8912475486657647,1435.291,1402.1303922691072,1407.4798062795157,5.349414010408509,-27.811193720484198,0.05
1,2.847858,2.699771647158508,1435.291,1402.1303922691072,1383.9282008368068,-18.202191432300424,-51.36279916319313,0.05
2,2.847858,2.954716922079349,1435.291,1402.1303922691072,1414.7863808064953,12.655988537388112,-20.504619193504595,0.05
3,2.847858,2.9817877376046225,1435.291,1402.1303922691072,1417.862945089275,15.732552820167712,-17.428054910724995,0.05
4,2.847858,2.5700444414855332,1435.291,1402.1303922691072,1364.5079984566264,-37.62239381248082,-70.78300154337353,0.05
5,2.847858,2.6624368836973047,1435.291,1402.1303922691072,1378.5792564840085,-23.551135785098722,-56.71174351599143,0.05
6,2.847858,2.866061565744159,1435.291,1402.1303922691072,1404.3864333400966,2.2560410709893404,-30.904566659903367,0.05
7,2.847858,2.8028273001726793,1435.291,1402.1303922691072,1396.6849593362535,-5.4454329328536915,-38.6060406637464,0.05
8,2.847858,2.8454656344596074,1435.291,1402.1303922691072,1401.8338967916934,-0.29649547741382776,-33.457103208306535,0.05
9,2.847858,2.726390601325408,1435.291,1402.1303922691072,1387.2859049708804,-14.844487298226795,-48.0050950291195,0.05
10,2.847858,2.973078027894845,1435.291,1402.1303922691072,1416.8730974882133,14.742705219106028,-18.41790251178668,0.05
11,2.847858,2.9586100492823406,1435.291,1402.1303922691072,1415.228829837625,13.098437568517738,-20.06217016237497,0.05
12,2.847858,2.8572603025147645,1435.291,1402.1303922691072,1403.2956574118432,1.1652651427359615,-31.995342588156745,0.05
13,2.847858,3.0083691444596785,1435.291,1402.1303922691072,1420.8838886895874,18.753496420480133,-14.407111310412574,0.05
14,2.847858,2.9144280110203615,1435.291,1402.1303922691072,1410.20892234757,8.07853007846279,-25.082077652429916,0.05
15,2.847858,2.7255008542619135,1435.291,1402.1303922691072,1387.1736726354309,-14.956719633676357,-48.117327364569064,0.05
16,2.847858,2.9003654935227807,1435.291,1402.1303922691072,1408.553293487677,6.422901218569677,-26.73770651232303,0.05
17,2.847858,2.7113199257084166,1435.291,1402.1303922691072,1385.3848960317168,-16.745496237390398,-49.906103968283105,0.05
18,2.847858,2.9729430859090167,1435.291,1402.1303922691072,1416.857761500516,14.72736923140883,-18.433238499483878,0.05
19,2.847858,2.8407489047495256,1435.291,1402.1303922691072,1401.2493335200656,-0.8810587490415855,-34.04166647993429,0.05
20,2.847858,2.821534911953936,1435.291,1402.1303922691072,1398.8696552454871,-3.260737023620095,-36.4213447545128,0.05
21,2.847858,2.750898467476644,1435.291,1402.1303922691072,1390.3773173147824,-11.753074954324802,-44.91368268521751,0.05
22,2.847858,3.0219392065836774,1435.291,1402.1303922691072,1422.4261092557472,20.295716986639945,-12.864890744252762,0.05
