target,representative_id,sensor,fault_type,severity,random_seed,repetition,healthy_noise,n_samples,mae,rmse,r2,residual_mean,residual_standard_deviation,residual_rms,residual_maximum,residual_minimum,residual_skewness,residual_kurtosis
MF_IA,MF_IA_High,P_IM,linear_drift,0.0125,42,1,0.02,300,30.9546921761317,30.981056123117344,-1.8565731816007053e+28,2.6268900505470385,6.872553707632383,7.357482300485312,21.866089412715382,-14.742971039288022,0.1781758954983707,2.827744945379142
MF_IA,MF_IA_High,P_IM,linear_drift,0.02,43,1,0.02,300,29.649078686242078,29.717822211559405,-1.708258522688696e+28,3.342254795392983,6.84019699650775,7.61307835690406,19.158937933643756,-13.990739911714854,0.02288070638366046,2.518381770590468
MF_IA,MF_IA_High,P_IM,linear_drift,0.0275,44,1,0.02,300,28.372147949892103,28.503768854363013,-1.571535554046116e+28,4.504100136874044,7.038365759049307,8.35616602283287,25.790284849622367,-15.433261362660687,0.08002782133790333,3.0852763853871994
MF_IA,MF_IA_High,P_IM,linear_drift,0.035,45,1,0.02,300,27.120656403244496,27.336791452531756,-1.4454887468655347e+28,6.919851331565239,7.941171091713156,10.533116383996994,26.459851953872203,-15.785726945253828,0.03755837974773333,2.551828366731269
MF_IA,MF_IA_High,P_IM,linear_drift,0.0425,46,1,0.02,300,25.88314655797776,26.20904528015906,-1.3286850181409776e+28,7.518194498207547,8.115568283524249,11.062806925795233,32.94078783096393,-17.90123706119607,-0.05999315031203328,3.083433559463457
MF_IA,MF_IA_High,P_IM,linear_drift,0.05,47,1,0.02,300,24.652794182950878,25.117771603842368,-1.2203428190040564e+28,8.805269785763437,8.383105933364561,12.157682389752196,32.20391987444077,-12.355575544298972,-0.13267035347583128,2.71105387435063
MF_IA,MF_IA_High,P_IM,linear_drift,0.0625,48,1,0.02,300,22.611081780863167,23.384600498416862,-1.0577415034576908e+28,10.208900002162157,9.080395827714385,13.66291431730871,37.86141114776069,-15.304497527241892,0.07617759137912126,2.8421840898275357
MF_IA,MF_IA_High,P_IM,linear_drift,0.075,49,1,0.02,300,20.575659390732085,21.77368611387911,-9.170300169825888e+27,12.755640777431495,10.063774814047706,16.247643987690466,37.12721789669081,-15.56858930948033,-0.15306038824599483,2.970103376348098
MF_IA,MF_IA_High,P_IM,linear_drift,0.0875,50,1,0.02,300,18.543975007465175,20.310085115939867,-7.978901848650921e+27,14.79314147207575,10.89869217056891,18.374398647075978,39.497342266110536,-23.698006506227102,-0.10074106929382187,2.607009889689037
MF_IA,MF_IA_High,P_IM,linear_drift,0.1,51,1,0.02,300,16.520473300579525,19.02607454456661,-7.001934176540185e+27,17.29642262913688,11.960485672923156,21.029014558412342,44.62759953589284,-12.450917837413272,0.13003670540405968,2.404625462038386
MF_IA,MF_IA_High,P_IM,linear_drift,0.125,52,1,0.02,300,13.840079976151975,17.10295172917209,-5.657984791448699e+27,20.638661802707542,12.908690726787999,24.34314394827426,57.01796867401731,-5.936029800683627,0.1371193514558496,2.2829083049967926
MF_IA,MF_IA_High,P_IM,linear_drift,0.15,53,1,0.02,300,13.065239982973464,16.077817676568113,-5.000044098096311e+27,24.351437376103988,15.040947598295542,28.622065036209158,60.57105759764727,-9.717464510953505,-0.04386958118670596,2.263884570122461
MF_IA,MF_IA_High,P_IM,linear_drift,0.175,54,1,0.02,300,13.366279656323478,15.967539936264256,-4.9316887315194253e+27,27.7886596214128,16.644249235503256,32.39198413447823,69.40955488318059,-18.176240250159026,-0.2343820493590556,2.387716314821637
MF_IA,MF_IA_High,P_IM,linear_drift,0.2,55,1,0.02,300,14.345037253287522,16.722599002790762,-5.409127112784433e+27,30.357757596137418,18.22400655035499,35.40773730434098,71.62969708778905,-11.670178629969996,-0.028972866955639064,2.0621378620098305
MF_IA,MF_IA_High,P_IM,linear_drift,0.225,56,1,0.02,300,15.754700964347812,18.16828532931153,-6.384803256710582e+27,33.97519388009044,19.089599037186826,38.97084282627589,71.81597928202609,-10.485145063395066,-0.1355540385945463,2.0818007804454566
MF_IA,MF_IA_High,P_IM,linear_drift,0.25,57,1,0.02,300,17.463254273407532,20.129784297051813,-7.837866791296098e+27,37.38477586629171,20.677009984569754,42.721893783806735,82.36297415871013,-12.936482738210088,-0.15152239627211903,2.2095403743480557
MF_IA,MF_IA_High,P_IM,linear_drift,0.275,58,1,0.02,300,19.40026358719498,22.478917995264023,-9.773957398314367e+27,39.87787108066123,21.55024413296324,45.32833136258331,86.09469282562486,-5.255404858105976,-0.1076493808423451,2.1112576396028273
MF_IA,MF_IA_High,P_IM,linear_drift,0.3,59,1,0.02,300,21.521040766577627,25.121936476902206,-1.2207475519072107e+28,43.65752184326132,23.912164138751336,49.77721172678744,98.35119172084205,-9.137515874779183,-0.1794414693044494,2.030708272281197
MF_IA,MF_IA_High,P_IM,linear_drift,0.35,60,1,0.02,300,26.17671297874771,31.002157673386865,-1.8591031091777192e+28,49.92187516620216,27.394879741156235,56.9444734468788,100.97669917742996,-5.276626168034909,-0.20366564788057712,2.0535681208306187
MF_IA,MF_IA_High,P_IM,linear_drift,0.4,61,1,0.02,300,31.20769013939124,37.3406038876989,-2.6970084695666615e+28,56.12557180673461,29.643717863151863,63.4730637308699,116.22379931625028,-6.87601231647659,-0.12022377903015183,1.9612617091909745
MF_IA,MF_IA_High,EGR_Rate,linear_drift,0.0125,62,1,0.02,300,33.60065794493194,33.60162487374034,-2.183937441513834e+28,-0.4507870014191273,1.5362335189291492,1.601006666235305,3.8479691420945983,-5.317062145941691,-0.03275951261276139,3.067522961061636
MF_IA,MF_IA_High,EGR_Rate,linear_drift,0.02,63,1,0.02,300,33.864688073355396,33.86714405811589,-2.218588645327362e+28,-0.7368429538089292,1.4885840589125532,1.6609696080983658,4.1781846650137595,-4.852510688756638,-0.05619957474934968,2.8770320553374633
MF_IA,MF_IA_High,EGR_Rate,linear_drift,0.0275,64,1,0.02,300,34.12871820177884,34.13332548171877,-2.253600030290869e+28,-0.8362374085393329,1.5413714737520225,1.7536017288817496,3.456600978970073,-5.102126922237176,0.12578434640048347,2.7101205410328126
MF_IA,MF_IA_High,EGR_Rate,linear_drift,0.035,65,1,0.02,300,34.3927483302023,34.40015377173333,-2.2889715964043577e+28,-1.2743266999828098,1.7119930759718627,2.134204495933948,4.776082639971264,-5.998390824237504,0.06509564340774016,3.178964299613691
MF_IA,MF_IA_High,EGR_Rate,linear_drift,0.0425,66,1,0.02,300,34.65767976952039,34.66855153034384,-2.3248290822532904e+28,-1.3371383211592471,1.7253227889381177,2.182814150573011,3.4500749186145185,-6.53916620620771,-0.07198622889107052,2.815704676389503
