sample_index,healthy_sensor,faulty_sensor,healthy_ground_truth,healthy_prediction,faulty_prediction,prediction_error,residual,severity
0,23.12293,23.475227585248305,1180.682,1169.7104058975315,1170.3791052907375,0.6686993932059977,-10.302894709262546,0.05
1,23.12293,21.920556015514425,1180.682,1169.7104058975315,1166.7684697385089,-2.941936159022589,-13.913530261491132,0.05
2,23.12293,23.99056152345245,1180.682,1169.7104058975315,1171.2842157720768,1.5738098745453044,-9.397784227923239,0.05
3,23.12293,24.21036060487919,1180.682,1169.7104058975315,1171.6385035684561,1.9280976709246715,-9.043496431543872,0.05
4,23.12293,20.86724749526103,1180.682,1169.7104058975315,1163.4327637386154,-6.277642158916024,-17.249236261384567,0.05
5,23.12293,21.617419720769405,1180.682,1169.7104058975315,1165.808472228071,-3.9019336694605045,-14.873527771929048,0.05
6,23.12293,23.270732234680445,1180.682,1169.7104058975315,1169.9909507232237,0.2805448256922318,-10.691049276776312,0.05
7,23.12293,22.75730723371104,1180.682,1169.7104058975315,1168.9947505442362,-0.715655353295233,-11.687249455763776,0.05
8,23.12293,23.103505400555466,1180.682,1169.7104058975315,1169.673535880802,-0.03687001672938095,-11.008464119197924,0.05
9,23.12293,22.13668624878955,1180.682,1169.7104058975315,1167.4529291367112,-2.257476760820282,-13.229070863288825,0.05
10,23.12293,24.139642890744746,1180.682,1169.7104058975315,1171.524515725818,1.8141098282865187,-9.157484274182025,0.05
11,23.12293,24.022171423874404,1180.682,1169.7104058975315,1171.335166858367,1.6247609608356015,-9.346833141632942,0.05
12,23.12293,23.199271159877956,1180.682,1169.7104058975315,1169.8553097782979,0.14490388076637828,-10.826690221702165,0.05
13,23.12293,24.426185976091865,1180.682,1169.7104058975315,1171.9863862560146,2.275980358483139,-8.695613743985405,0.05
14,23.12293,23.663439289762007,1180.682,1169.7104058975315,1170.736351714989,1.0259458174575684,-9.945648285010975,0.05
15,23.12293,22.129462026561164,1180.682,1169.7104058975315,1167.4300508622377,-2.2803550352937236,-13.251949137762267,0.05
16,23.12293,23.549259928389237,1180.682,1169.7104058975315,1170.5196267845224,0.8092208869909427,-10.1623732154776,0.05
17,23.12293,22.014321237140656,1180.682,1169.7104058975315,1167.0654133275389,-2.64499256999261,-13.616586672461153,0.05
18,23.12293,24.13854724128035,1180.682,1169.7104058975315,1171.5227496800646,1.812343782533162,-9.159250319935381,0.05
19,23.12293,23.065208332753933,1180.682,1169.7104058975315,1169.6008438526055,-0.10956204492595134,-11.081156147394495,0.05
20,23.12293,22.90920202540542,1180.682,1169.7104058975315,1169.2986303005466,-0.4117755969848531,-11.383369699453397,0.05
21,23.12293,22.33567569049079,1180.682,1169.7104058975315,1168.0831056347033,-1.6273002628281574,-12.598894365296701,0.05
22,23.12293,24.536366889813298,1180.682,1169.7104058975315,1172.0820291433145,2.3716232457829847,-8.599970856685559,0.05
23,23.12293,22.94427128015934,1180.682,1169.7104058975315,1169.3687896290508,-0.34161626848072046,-11.313210370949264,0.05
24,23.12293,22.6277202875535,1180.682,1169.7104058975315,1168.735499722137,-0.9749061753943806,-11.946500277862924,0.05
25,23.12293,22.71581202807046,1180.682,1169.7104058975315,1168.9117354991683,-0.7986703983631287,-11.770264500831672,0.05
26,23.12293,23.738357401795355,1180.682,1169.7104058975315,1170.8776952264968,1.167289328965353,-9.80430477350319,0.05
27,23.12293,23.545436875960302,1180.682,1169.7104058975315,1170.51237021239,0.8019643148584237,-10.16962978761012,0.05
28,23.12293,23.60010936433256,1180.682,1169.7104058975315,1170.6161445819298,0.9057386843983295,-10.065855418070214,0.05
29,23.12293,23.62102219475405,1180.682,1169.7104058975315,1170.6558394240142,0.9454335264827023,-10.026160575985841,0.05
30,23.12293,25.59898837797978,1180.682,1169.7104058975315,1170.68086441137,0.9704585138385937,-10.00113558862995,0.05
31,23.12293,22.653054701259485,1180.682,1169.7104058975315,1168.7861835894205,-0.9242223081109842,-11.895816410579528,0.05
32,23.12293,22.530702361633494,1180.682,1169.7104058975315,1168.5414062752359,-1.168999622295587,-12.14059372476413,0.05
33,23.12293,22.182089508440765,1180.682,1169.7104058975315,1167.596715997561,-2.1136898999704954,-13.085284002439039,0.05
34,23.12293,23.83509245348268,1180.682,1169.7104058975315,1171.0336196647268,1.3232137671952842,-9.64838033527326,0.05
35,23.12293,24.428187364826233,1180.682,1169.7104058975315,1171.9896122367593,2.2792063392278124,-8.692387763240731,0.05
36,23.12293,22.99119004564842,1180.682,1169.7104058975315,1169.4603490387149,-0.2500568588166061,-11.22165096128515,0.05
37,23.12293,22.151586029707442,1180.682,1169.7104058975315,1167.5001150159192,-2.210290881612309,-13.181884984080853,0.05
38,23.12293,22.16970892816283,1180.682,1169.7104058975315,1167.557508134792,-2.152897762739485,-13.124491865208029,0.05
39,23.12293,23.875110574568772,1180.682,1169.7104058975315,1171.0981237192607,1.3877178217292112,-9.583876280739332,0.05
40,23.12293,23.982240708647257,1180.682,1169.7104058975315,1171.270803690815,1.5603977932835278,-9.411196309185016,0.05
41,23.12293,23.750895906261114,1180.682,1169.7104058975315,1170.8979056800088,1.187499782477289,-9.784094319991254,0.05
42,23.12293,22.35350328120215,1180.682,1169.7104058975315,1168.1395635481788,-1.570842349352688,-12.542436451821231,0.05
43,23.12293,23.391342501098958,1180.682,1169.7104058975315,1170.2198822156483,0.5094763181168673,-10.462117784351676,0.05
44,23.12293,23.257835889837718,1180.682,1169.7104058975315,1169.9664720485691,0.2560661510376576,-10.715527951430886,0.05
45,23.12293,23.37576605569816,1180.682,1169.7104058975315,1170.190316416665,0.4799105191334547,-10.491683583335089,0.05
46,23.12293,24.13042933162408,1180.682,1169.7104058975315,1171.5096646557568,1.7992587582252781,-9.172335344243265,0.05
47,23.12293,23.38143921113143,1180.682,1169.7104058975315,1170.2010846868848,0.49067878935329645,-10.480915313115247,0.05
48,23.12293,23.9078535397481,1180.682,1169.7104058975315,1171.150901159935,1.4404952624036014,-9.531098840064942,0.05
49,23.12293,23.20106130466284,1180.682,1169.7104058975315,1169.8587076691192,0.1483017715877395,-10.823292330880804,0.05
50,23.12293,23.45719438087753,1180.682,1169.7104058975315,1170.344876294215,0.6344703966835823,-10.337123705784961,0.05
51,23.12293,23.85279167279444,1180.682,1169.7104058975315,1171.0621485255706,1.3517426280391192,-9.619851474429424,0.05
52,23.12293,21.43824439891924,1180.682,1169.7104058975315,1165.2410447510913,-4.469361146440178,-15.440955248908722,0.05
53,23.12293,22.753343242057763,1180.682,1169.7104058975315,1168.986820207691,-0.7235856898405473,-11.69517979230909,0.05
54,23.12293,22.579110302043677,1180.682,1169.7104058975315,1168.6382508936144,-1.0721550039170324,-12.043749106385576,0.05
55,23.12293,22.384293611825928,1180.682,1169.7104058975315,1168.2370729565105,-1.473332941020999,-12.444927043489542,0.05
56,23.12293,22.80482524924215,1180.682,1169.7104058975315,1169.0898147845494,-0.6205911129820834,-11.592185215450627,0.05
57,23.12293,24.851301164689055,1180.682,1169.7104058975315,1172.2828282193204,2.572422321788963,-8.39917178067958,0.05
58,23.12293,22.121902386000162,1180.682,1169.7104058975315,1167.4061103567813,-2.3042955407502177,-13.275889643218761,0.05
59,23.12293,24.242401630686704,1180.682,1169.7104058975315,1171.6901495733136,1.9797436757821743,-8.99185042668637,0.05
60,23.12293,21.177286003590588,1180.682,1169.7104058975315,1164.4146197594744,-5.29578613805711,-16.267380240525654,0.05
61,23.12293,22.735753844679554,1180.682,1169.7104058975315,1168.9516309709218,-0.7587749266097035,-11.730369029078247,0.05
62,23.12293,23.311096386585422,1180.682,1169.7104058975315,1170.0675663033933,0.357160405861805,-10.614433696606739,0.05
63,23.12293,23.80068889662287,1180.682,1169.7104058975315,1170.9781655642444,1.267759666712891,-9.703834435755653,0.05
64,23.12293,23.94521212093448,1180.682,1169.7104058975315,1171.2111183788536,1.5007124813221253,-9.470881621146418,0.05
65,23.12293,24.040155629261072,1180.682,1169.7104058975315,1171.364155080041,1.6537491825095003,-9.317844919959043,0.05
66,23.12293,22.719752728257724,1180.682,1169.7104058975315,1168.9196192389545,-0.7907866585769625,-11.762380761045506,0.05
67,23.12293,22.588383593142133,1180.682,1169.7104058975315,1168.6568029809357,-1.0536029165957643,-12.025197019064308,0.05
68,23.12293,24.114875812199877,1180.682,1169.7104058975315,1171.4845943866412,1.774188489109747,-9.197405613358796,0.05
69,23.12293,22.901754174353258,1180.682,1169.7104058975315,1169.283730176997,-0.4266757205343765,-11.39826982300292,0.05
70,23.12293,21.648049722174996,1180.682,1169.7104058975315,1165.9054738923512,-3.8049320051802624,-14.776526107648806,0.05
71,23.12293,21.812683954035126,1180.682,1169.7104058975315,1166.4268514227176,-3.2835544748138545,-14.255148577282398,0.05
72,23.12293,22.05990845762224,1180.682,1169.7104058975315,1167.2097827710163,-2.5006231265151655,-13.472217228983709,0.05
73,23.12293,23.697720654175157,1180.682,1169.7104058975315,1170.8014214984373,1.0910156009058483,-9.880578501562695,0.05
74,23.12293,23.287595016267908,1180.682,1169.7104058975315,1170.0229581291426,0.31255223161110735,-10.659041870857436,0.05
75,23.12293,23.92123222540671,1180.682,1169.7104058975315,1171.1724658772653,1.4620599797337945,-9.509534122734749,0.05
76,23.12293,22.62896334832228,1180.682,1169.7104058975315,1168.7379865816222,-0.972419315909292,-11.944013418377835,0.05
77,23.12293,23.306225108949423,1180.682,1169.7104058975315,1170.0583200850378,0.34791418750637604,-10.623679914962167,0.05
78,23.12293,23.84620414441896,1180.682,1169.7104058975315,1171.051530278685,1.341124381153577,-9.630469721314967,0.05
79,23.12293,22.765280080815334,1180.682,1169.7104058975315,1169.010700971556,-0.6997049259755386,-11.671299028444082,0.05
80,23.12293,23.65102909218867,1180.682,1169.7104058975315,1170.712795801085,1.0023899035534214,-9.969204198915122,0.05
81,23.12293,22.357646639976583,1180.682,1169.7104058975315,1168.1526850851812,-1.557720812350226,-12.52931491481877,0.05
82,23.12293,22.703186565982257,1180.682,1169.7104058975315,1168.8864770798384,-0.8239288176930586,-11.795522920161602,0.05
83,23.12293,22.68158506993646,1180.682,1169.7104058975315,1168.8432612639363,-0.8671446335952169,-11.83873873606376,0.05
84,23.12293,21.740364179190994,1180.682,1169.7104058975315,1166.1978230780119,-3.5125828195195936,-14.484176921988137,0.05
85,23.12293,23.68594152925657,1180.682,1169.7104058975315,1170.7790634295334,1.0686575320019074,-9.902936570466636,0.05
86,23.12293,22.580232127282812,1180.682,1169.7104058975315,1168.6404952100686,-1.0699106874628797,-12.041504789931423,0.05
87,23.12293,23.137375031637603,1180.682,1169.7104058975315,1169.7378241493032,0.027418251771678115,-10.944175850696865,0.05
88,23.12293,23.678743567080762,1180.682,1169.7104058975315,1170.765400909151,1.0549950116194395,-9.916599090849104,0.05
89,23.12293,23.639185456307903,1180.682,1169.7104058975315,1170.690315283311,0.9799093857795924,-9.991684716688951,0.05
90,23.12293,23.892212664891005,1180.682,1169.7104058975315,1171.125690085118,1.4152841875866216,-9.556309914881922,0.05
91,23.12293,23.009066351783627,1180.682,1169.7104058975315,1169.4942802252056,-0.21612567232591573,-11.18771977479446,0.05
92,23.12293,22.633535138074244,1180.682,1169.7104058975315,1168.747132875187,-0.9632730223445378,-11.934867124813081,0.05
93,23.12293,23.030764069474305,1180.682,1169.7104058975315,1169.5354648692717,-0.17494102825980917,-11.146535130728353,0.05
94,23.12293,21.172124199849943,1180.682,1169.7104058975315,1164.3982729253066,-5.312132972224845,-16.283727074693388,0.05
95,23.12293,21.449855979901702,1180.682,1169.7104058975315,1165.2778172822223,-4.432588615309214,-15.404182717777758,0.05
96,23.12293,21.5936954726251,1180.682,1169.7104058975315,1165.7333402839572,-3.9770656135742684,-14.948659716042812,0.05
97,23.12293,21.969966570632444,1180.682,1169.7104058975315,1166.924947239636,-2.7854586578955605,-13.757052760364104,0.05
98,23.12293,23.585127573016507,1180.682,1169.7104058975315,1170.5877075015135,0.877301603982005,-10.094292498486539,0.05
99,23.12293,22.076063559322158,1180.682,1169.7104058975315,1167.2609441056425,-2.449461791889007,-13.42105589435755,0.05
100,23.12293,22.6857186867163,1180.682,1169.7104058975315,1168.8515309514332,-0.8588749460982399,-11.830469048566783,0.05
101,23.12293,24.625028249186315,1180.682,1169.7104058975315,1172.13855877651,2.428152878978608,-8.543441223489936,0.05
102,23.12293,22.711036656781232,1180.682,1169.7104058975315,1168.9021819216723,-0.8082239758591641,-11.779818078327708,0.05
103,23.12293,23.975606043178736,1180.682,1169.7104058975315,1171.26010946501,1.5497035674784456,-9.421890534990098,0.05
104,23.12293,22.04353118691846,1180.682,1169.7104058975315,1167.1579178529053,-2.552488044626216,-13.52408214709476,0.05
105,23.12293,22.88541408650279,1180.682,1169.7104058975315,1169.2510403009408,-0.45936559659071463,-11.430959699059258,0.05
106,23.12293,22.024565326292322,1180.682,1169.7104058975315,1167.097855170541,-2.6125507269905484,-13.584144829459092,0.05
107,23.12293,22.73095809591333,1180.682,1169.7104058975315,1168.942036626375,-0.7683692711564163,-11.73996337362496,0.05
108,23.12293,24.094449312042887,1180.682,1169.7104058975315,1171.451669500507,1.7412636029755504,-9.230330499492993,0.05
109,23.12293,21.125894538347648,1180.682,1169.7104058975315,1164.251868945579,-5.45853695195251,-16.430131054421054,0.05
110,23.12293,23.625187375002792,1180.682,1169.7104058975315,1170.663745392211,0.9533394946795397,-10.018254607789004,0.05
111,23.12293,23.397787184561853,1180.682,1169.7104058975315,1170.2321149305503,0.5217090330188512,-10.449885069449692,0.05
112,23.12293,22.436005608245996,1180.682,1169.7104058975315,1168.3519565513725,-1.3584493461589773,-12.33004344862752,0.05
113,23.12293,21.45107527285128,1180.682,1169.7104058975315,1165.2816786416715,-4.42872725585994,-15.400321358328483,0.05
114,23.12293,23.206322277890113,1180.682,1169.7104058975315,1169.8686935723783,0.15828767484686068,-10.813306427621683,0.05
